District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),Date
Cachar,32.95,6.09,1.83,183,0,0,0,15-05-2022
Hojai,22.06,4.47,1.28,128.5,0,0,0,15-05-2022
Karbi Anglong West,31,5,0.6,0.6,0,0,0,15-05-2022
Nagaon,0.31,0.06,0.02,0,0,0,0,15-05-2022
Nagaon,3.36,0.61,0.18,0,0,126,0,16-05-2022
Biswanath,9.37,1.74,0,0,0,0,195.81,16-05-2022
Cachar,8.06,1.49,0.45,45.01,0,0,0,16-05-2022
Hojai,262.69,49.47,14.84,1483.98,0,0,0,16-05-2022
Karbi Anglong West,23.95,4.34,1.31,1.31,0,0,0,16-05-2022
Udalguri,84.84,15.25,4.57,457,0,0,0,17-05-2022
Sonitpur,83.01,15.47,4.65,0,0,0,0,17-05-2022
Nagaon,110.15,20.58,6.17,0,0,236,0,17-05-2022
Karimganj,9.12,1.68,0.5,0,0,0,0,17-05-2022
Karbi Anglong West,23.95,4.34,1.31,130.14,0,0,0,17-05-2022
Kamrup,2.52,0.45,0.14,13.62,0,0,0,17-05-2022
Dibrugarh,75.01,13.76,4.13,0,0,0,0,17-05-2022
Charaideo,2.05,0.38,0.11,0.11,0,0,0,17-05-2022
Cachar,77.68,9.07,2.62,270.66,0,0,0,17-05-2022
Biswanath,32.66,5.94,1.78,178.29,0,0,280.65,17-05-2022
Bajali,0,0,0,0,0,102,0,17-05-2022
Hojai,371.84,65.01,19.44,1944.48,0,0,0,17-05-2022
Bajali,0,0,0,0,0,82.68,0,18-05-2022
Biswanath,244.34,43.48,2.67,132.39,0,79.38,0,18-05-2022
Cachar,239,98.12,23.34,2360.7,0,80,0,18-05-2022
Charaideo,2.63,0.47,0.17,0.17,0,0,0,18-05-2022
Darrang,270.61,50,14.99,263.49,0,0,54,18-05-2022
Hailakandi,46,8.4,2.52,252,0,0,0,18-05-2022
Hojai,344.05,63.88,19.17,1916.34,0,0,532.5,18-05-2022
Kamrup,0,0,0,0,0,356.28,0,18-05-2022
Karimganj,37.17,6.76,2.03,0,0,0,0,18-05-2022
Nagaon,367.24,69.7,20.91,0,0,1200,0,18-05-2022
Sonitpur,29.34,5.21,1.56,0,0,0,0,18-05-2022
Udalguri,91.43,16.78,5.07,506.98,0,0,0,18-05-2022
Dima-Hasao,9.43,1.82,0.78,44.74,0,0,0,18-05-2022
Karbi Anglong West,100.56,18.92,5.67,500.67,9,0,0,18-05-2022
Nagaon,4046.33,770.81,237.12,0,0,1229.37,0,19-05-2022
Nalbari,0,0,0,0,0,251,0,19-05-2022
Sonitpur,0,0,0,0,0,146.56,0,19-05-2022
Udalguri,64.26,11.65,3.5,349.53,0,0,0,19-05-2022
