District,RevenueCircle,Number of centers,Date
Cachar,silchar,0,2022-05-15
Cachar,katigorah,0,2022-05-15
Nagaon,kampur,1,2022-05-15
Hojai,hojai,5,2022-05-15
Karbi Anglong West,donkamokam,3,2022-05-15
Biswanath,halem,4,2022-05-16
Cachar,lakhipur,0,2022-05-16
Cachar,silchar,0,2022-05-16
Cachar,katigorah,0,2022-05-16
Dima-Hasao,haflong,1,2022-05-16
Hojai,hojai,0,2022-05-16
Karbi Anglong West,donkamokam,4,2022-05-16
Nagaon,kampur,3,2022-05-16
Udalguri,khairabari,0,2022-05-16
Udalguri,mazbat,9,2022-05-17
Udalguri,kalaigaon,1,2022-05-17
Udalguri,khairabari,2,2022-05-17
Udalguri,udalguri,7,2022-05-17
Sonitpur,dhekiajuli,7,2022-05-17
Sonitpur,tezpur,7,2022-05-17
Nagaon,raha,0,2022-05-17
Nagaon,kampur,3,2022-05-17
Karimganj,badarpur,0,2022-05-17
Karimganj,karimganj,7,2022-05-17
Karbi Anglong West,donkamokam,3,2022-05-17
Kamrup,rangia,0,2022-05-17
Hojai,hojai,0,2022-05-17
Hojai,lanka,2,2022-05-17
Hojai,doboka,17,2022-05-17
Dima-Hasao,haflong,1,2022-05-17
Dibrugarh,chabua,2,2022-05-17
Charaideo,sapekhati,1,2022-05-17
Cachar,lakhipur,0,2022-05-17
Cachar,katigorah,2,2022-05-17
Cachar,silchar,0,2022-05-17
Biswanath,halem,6,2022-05-17
Biswanath,biswanath,10,2022-05-17
Bajali,bajali,2,2022-05-17
Udalguri,khairabari,2,2022-05-18
Udalguri,udalguri,5,2022-05-18
Udalguri,kalaigaon,8,2022-05-18
Udalguri,harisinga,1,2022-05-18
Sonitpur,naduar,2,2022-05-18
Nagaon,nagaon,0,2022-05-18
Nagaon,raha,1,2022-05-18
Nagaon,kampur,19,2022-05-18
Karimganj,badarpur,0,2022-05-18
Karimganj,karimganj,7,2022-05-18
Karbi Anglong West,donkamokam,3,2022-05-18
Kamrup,rangia,0,2022-05-18
Charaideo,sapekhati,1,2022-05-18
Hailakandi,algapur,4,2022-05-18
Hojai,hojai,5,2022-05-18
Hojai,doboka,17,2022-05-18
Hojai,lanka,5,2022-05-18
Bajali,bajali,4,2022-05-18
Biswanath,halem,9,2022-05-18
Biswanath,naduar,2,2022-05-18
Biswanath,biswanath,5,2022-05-18
Cachar,udharbond,0,2022-05-18
Cachar,silchar,0,2022-05-18
Cachar,lakhipur,0,2022-05-18
Cachar,sonai,0,2022-05-18
Cachar,katigorah,0,2022-05-18
Darrang,mangaldoi,4,2022-05-18
Darrang,patharighat,9,2022-05-18
Dima-Hasao,haflong,0,2022-05-18
Biswanath,halem,1,2022-05-19
Biswanath,biswanath,6,2022-05-19
Cachar,udharbond,0,2022-05-19
Cachar,lakhipur,2,2022-05-19
Cachar,sonai,0,2022-05-19
Cachar,silchar,0,2022-05-19
Cachar,katigorah,27,2022-05-19
Darrang,patharighat,3,2022-05-19
Darrang,dalgaon,14,2022-05-19
Darrang,mangaldoi,6,2022-05-19
Dima-Hasao,haflong,6,2022-05-19
Hojai,doboka,0,2022-05-19
