District,RevenueCircle,Number of inmates,Date
Cachar,Udharbond,0,2022-05-15
Cachar,Lakhipur,0,2022-05-15
Cachar,Sonai,0,2022-05-15
Cachar,Silchar,573,2022-05-15
Cachar,Katigorah,1112,2022-05-15
Hojai,Lanka,0,2022-05-15
Hojai,Doboka,0,2022-05-15
Hojai,Hojai,2370,2022-05-15
Karbi Anglong West,Donkamokam,275,2022-05-15
Hojai,Lanka,0,2022-05-16
Hojai,Doboka,0,2022-05-16
Hojai,Hojai,29827,2022-05-16
Cachar,Udharbond,0,2022-05-16
Cachar,Sonai,0,2022-05-16
Cachar,Lakhipur,518,2022-05-16
Cachar,Silchar,631,2022-05-16
Cachar,Katigorah,1474,2022-05-16
Biswanath,Gohpur,0,2022-05-16
Biswanath,Biswanath,0,2022-05-16
Biswanath,Halem,100,2022-05-16
Udalguri,Udalguri,0,2022-05-16
Udalguri,Harisinga,0,2022-05-16
Udalguri,Mazbat,0,2022-05-16
Udalguri,Kalaigaon,0,2022-05-16
Udalguri,Khairabari,159,2022-05-16
Dima-Hasao,Haflong,250,2022-05-16
Hojai,Lanka,0,2022-05-17
Hojai,Doboka,0,2022-05-17
Hojai,Hojai,31111,2022-05-17
Dima-Hasao,Haflong,250,2022-05-17
Cachar,Katigorah,2851,2022-05-17
Cachar,Silchar,4220,2022-05-17
Cachar,Lakhipur,518,2022-05-17
Cachar,Udharbond,0,2022-05-17
Cachar,Sonai,0,2022-05-17
Nagaon,Kampur,169,2022-05-17
Nagaon,Raha,77,2022-05-17
Karimganj,Badarpur,50,2022-05-17
Karimganj,Karimganj,0,2022-05-17
Kamrup,Kayan,0,2022-05-17
Kamrup,Rangia,227,2022-05-17
Biswanath,Naduar,0,2022-05-17
Biswanath,Biswanath,0,2022-05-17
Biswanath,Gohpur,0,2022-05-17
Biswanath,Halem,85,2022-05-17
Hailakandi,Algapur,464,2022-05-18
Biswanath,Halem,52,2022-05-18
Biswanath,Naduar,0,2022-05-18
Biswanath,Gohpur,0,2022-05-18
Biswanath,Biswanath,0,2022-05-18
Hojai,Lanka,0,2022-05-18
Hojai,Doboka,0,2022-05-18
Hojai,Hojai,31981,2022-05-18
Kamrup,Kayan,0,2022-05-18
Kamrup,Rangia,40,2022-05-18
Karimganj,Karimganj,0,2022-05-18
Karimganj,Badarpur,152,2022-05-18
Nagaon,Nagaon,1008,2022-05-18
Nagaon,Raha,159,2022-05-18
Nagaon,Kampur,1686,2022-05-18
Udalguri,Udalguri,0,2022-05-18
Udalguri,Kalaigaon,0,2022-05-18
Udalguri,Harisinga,0,2022-05-18
Udalguri,Khairabari,163,2022-05-18
Dima-Hasao,Haflong,906,2022-05-18
Cachar,Sonai,1013,2022-05-18
Cachar,Lakhipur,1575,2022-05-18
Cachar,Udharbond,27,2022-05-18
Cachar,Silchar,5935,2022-05-18
Cachar,Katigorah,3143,2022-05-18
Biswanath,Biswanath,0,2022-05-19
Biswanath,Naduar,0,2022-05-19
Biswanath,Gohpur,0,2022-05-19
Biswanath,Halem,30,2022-05-19
Cachar,Katigorah,19360,2022-05-19
Cachar,Silchar,7346,2022-05-19
Cachar,Lakhipur,0,2022-05-19
Cachar,Sonai,1013,2022-05-19
Cachar,Udharbond,76,2022-05-19
Nagaon,Kampur,2737,2022-05-19
Nagaon,Raha,0,2022-05-19
Nagaon,Nagaon,5087,2022-05-19
Karimganj,Badarpur,607,2022-05-19
Kamrup,Kayan,0,2022-05-19
Kamrup,Nagarbera,0,2022-05-19
Kamrup,Rangia,40,2022-05-19
Hojai,Lanka,0,2022-05-19
Hojai,Doboka,13891,2022-05-19
Hojai,Hojai,29920,2022-05-19
Hailakandi,Algapur,125,2022-05-19
Darrang,Patharighat,66,2022-05-19
Darrang,Mangaldoi,0,2022-05-19
Darrang,Sipajhar,0,2022-05-19
Hojai,Lanka,0,2022-05-20
Hojai,Doboka,7437,2022-05-20
Hojai,Hojai,25158,2022-05-20
Karimganj,Karimganj,0,2022-05-20
Karimganj,Badarpur,607,2022-05-20
Nagaon,Kampur,6287,2022-05-20
Nagaon,Nagaon,6159,2022-05-20
Nagaon,Raha,306,2022-05-20
Darrang,Mangaldoi,0,2022-05-20
Darrang,Dalgaon,0,2022-05-20
Darrang,Sipajhar,0,2022-05-20
Darrang,Patharighat,91,2022-05-20
Cachar,Katigorah,19360,2022-05-20
Cachar,Silchar,7975,2022-05-20
Cachar,Udharbond,76,2022-05-20
Cachar,Sonai,1013,2022-05-20
Cachar,Lakhipur,0,2022-05-20
Morigaon,Mayong,0,2022-05-20
Morigaon,Morigaon,45,2022-05-20
Dima-Hasao,Haflong,161,2022-05-20
Biswanath,Naduar,0,2022-05-20
Biswanath,Biswanath,0,2022-05-20
Biswanath,Gohpur,0,2022-05-20
Biswanath,Halem,30,2022-05-20
