District,Baby Food Liquid,Baby Food Solid,Others,Date
Bajali,0.00-Q,0.00-Q,,18-05-2022
Sonitpur,0.00-Q,0.00-Q,,18-05-2022
Nagaon,"0.00-Q, 100.00-Pkt","250.00-ml, 100.00-Pkt",CANDLE-61.00-Pkt; MAXO COIL-61.00-Pkt; 0-0.00-Pieces,18-05-2022
Karimganj,10.00-Pkt,"82.00-Pkt, 0.00-Q",chira-11.85-Q; Gur-2.15-Q,18-05-2022
Karbi Anglong West,0.00-Q,0.00-Q,,18-05-2022
Kamrup,0.00-Q,0.00-Q,,18-05-2022
Hojai,"1272.00-L, 0.00-Q","0.00-Pkt, 0.00-Q",Chira -20.40-Q; Gur-3.84-Q; Water bottle-330.00-L; Amul Taza-311.00-L,18-05-2022
Biswanath,0.00-Q,"0.00-Q, 1.00-Pkt",Wheat Bran-160.64-Q; Corn Flakes-5.00-Pkt; Mosquito Coil-3.00-Pkt; Milk (Amul Taza)-5.00-L,18-05-2022
Dima-Hasao,0.00-Q,0.00-Q,Chira-0.64-Q; Biscuit-190.00-Pkt; candle-33.00-Pkt; Match-30.00-Pieces; Mortin-3.00-Pkt; Tarpoulin-25.00-Pieces,18-05-2022
Dhemaji,0.00-Q,0.00-Q,Tarpulin-15.00-Pieces,18-05-2022
Darrang,0.00-Q,"0.00-Q, 44.00-Pkt",0-0.00-Q; Tarpaulin-500.00-Pieces,18-05-2022
Charaideo,0.00-Q,0.00-Q,,18-05-2022
Cachar,"0.00-Q, 508.00-Pkt","0.00-Q, 224.00-Pkt",Cook Food-6.00-Pkt; Palm Sugar-508.00-Pkt; Sagu-277.00-Pkt; Mortein-1017.00-Pkt; Soyabin-127.80-Kg; Potato-2196.00-Kg; Candle-1727.00-Pkt; Match Box-1251.00-Pkt; Mortien-750.00-Pkt; Tarpulin-700.00-Pieces,18-05-2022
Hailakandi,850.00-Pkt,80.00-Pkt,,18-05-2022
Sonitpur,0.00-Q,0.00-Q,,19-05-2022
Nagaon,"0.00-Q, 100.00-Pkt","0.00-Q, 50000.00-ml, 400.00-Pkt",0-0.00-Pkt,19-05-2022
Lakhimpur,0.00-Q,0.00-Q,,19-05-2022
