District,RevenueCircle,Number of camps,Date
Cachar,silchar,3,2022-05-15
Cachar,katigorah,9,2022-05-15
Nagaon,kampur,0,2022-05-15
Hojai,hojai,5,2022-05-15
Karbi Anglong West,donkamokam,3,2022-05-15
Biswanath,halem,1,2022-05-16
Cachar,lakhipur,2,2022-05-16
Cachar,silchar,5,2022-05-16
Cachar,katigorah,13,2022-05-16
Dima-Hasao,haflong,1,2022-05-16
Hojai,hojai,31,2022-05-16
Karbi Anglong West,donkamokam,0,2022-05-16
Nagaon,kampur,0,2022-05-16
Udalguri,khairabari,2,2022-05-16
Udalguri,mazbat,0,2022-05-17
Udalguri,kalaigaon,0,2022-05-17
Udalguri,khairabari,0,2022-05-17
Udalguri,udalguri,0,2022-05-17
Sonitpur,dhekiajuli,0,2022-05-17
Sonitpur,tezpur,0,2022-05-17
Nagaon,raha,2,2022-05-17
Nagaon,kampur,1,2022-05-17
Karimganj,badarpur,1,2022-05-17
Karimganj,karimganj,0,2022-05-17
Karbi Anglong West,donkamokam,0,2022-05-17
Kamrup,rangia,1,2022-05-17
Hojai,hojai,37,2022-05-17
Hojai,lanka,3,2022-05-17
Hojai,doboka,0,2022-05-17
Dima-Hasao,haflong,1,2022-05-17
Dibrugarh,chabua,0,2022-05-17
Charaideo,sapekhati,0,2022-05-17
Cachar,lakhipur,2,2022-05-17
Cachar,katigorah,23,2022-05-17
Cachar,silchar,16,2022-05-17
Biswanath,halem,2,2022-05-17
Biswanath,biswanath,0,2022-05-17
Bajali,bajali,0,2022-05-17
Udalguri,khairabari,2,2022-05-18
Udalguri,udalguri,0,2022-05-18
Udalguri,kalaigaon,0,2022-05-18
Udalguri,harisinga,0,2022-05-18
Sonitpur,naduar,0,2022-05-18
Nagaon,nagaon,5,2022-05-18
Nagaon,raha,2,2022-05-18
Nagaon,kampur,4,2022-05-18
Karimganj,badarpur,2,2022-05-18
Karimganj,karimganj,0,2022-05-18
Karbi Anglong West,donkamokam,0,2022-05-18
