"","ID","Inundation","land use","ndbi","ndvi","assam_soil","assam_lith","srtm_filled_dem","strm_filled_slope_degrees","GCN250_ARCIII_average","gmted_drainage_density_without_1","assam_dist_from_major_rivers_updated_3857","sum","x","y","year"
"16",16,0,2,0.444707781076431,0.69847846031189,NA,7,90.1666641235352,89.9973831176758,88.6063995361328,0.000397581199649721,12392.396484375,1030.82678222656,92.1834242741725,26.0762602946124,2018
"28",28,1,NA,0.411799162626266,0.241472586989403,56,7,56,89.9099655151367,94.1137619018555,0.000680946512147784,11350.501953125,1141.69506835938,92.1238475758464,26.2968392812942,2018
"30",30,0,2,0.576324880123138,0.637029230594635,56,7,55.7777786254883,89.9597320556641,NA,0.000560061016585678,277.187072753906,1055.87048339844,92.0752293104811,26.2025839593931,2018
"44",44,1,2,0.434100270271301,0.546632766723633,162.228317260742,7,56,89.9681701660156,NA,0.000599935534410179,6593.17626953125,1057.57641601562,92.1159729582701,26.2449316743631,2018
"51",51,0,NA,0.635701477527618,0.429873138666153,56,7,56.8888893127441,89.9845581054688,95.5265350341797,0.000699308235198259,5907.49853515625,1456.45727539062,92.3229675150804,26.4753723743363,2018
"56",56,0,2,0.574206113815308,0.602855205535889,56,7,56,89.9363403320312,NA,0.000695666240062565,10025.8662109375,1083.60217285156,92.1381837382077,26.265369641128,2018
"57",57,0,NA,0.347104579210281,0.617946565151215,255,7,60.6388893127441,89.9750289916992,91,0.000600266444962472,22562.365234375,1758.22912597656,92.5125782535472,26.3688901747618,2018
"73",73,1,2,0.389085412025452,0.489298194646835,255,7,56.75,89.9819946289062,NA,0.000576124875806272,517.949890136719,1051.17846679688,92.1141959676839,26.1881272618547,2018
"83",83,0,2,0.176428779959679,0.415527641773224,215.891983032227,7,58.1388893127441,89.9750289916992,NA,0.000486303586512804,5908.396484375,1189.15380859375,92.3185496474577,26.1242061002528,2018
"89",89,0,4,0.651136696338654,0.42887270450592,56,7,47,0,NA,0.000608176924288273,6857.697265625,1175.55285644531,92.0800012337893,26.3112324610486,2018
"104",104,1,2,0.546598136425018,0.645492851734161,68.8337860107422,7,56,89.9916458129883,NA,0.000543268106412143,3917.1787109375,1074.26770019531,92.0518434192984,26.2561823679272,2018
