District,Details,Date,NumberofDamages_RevenueCircle_level (computed),,,,
Hailakandi,Hailakandi - Mohanpur RA under Hailakandi Revenue Circle dtd. 22.06.2022 | Buffalo died due to landslide | 0,23-06-2022,{},,,,
Hailakandi,"Hailakandi - chalk chandpur,Severely Damaged Under Hailakandi Revenue Circle on 21.06.2022 | No casualties | 5",21-06-2022,{},,,,
Hailakandi,Hailakandi - Bondukmara Outpost under Hailakandi Revenue Circle on 20.062022 | Landslide Near Bondukmara outpost | 0,24-06-2022,{},,,,
Hailakandi,Hailakandi - Bondukmara | Landslide happened backyard of Bondukmara Outpost No casualites. under Hailakandi Rev. Circle dtd. 29.06.2022 | 0,02-07-2022,{},,,,
Hailakandi,Hailakandi - Mohanpur Grant under Hailakandi Revenue circle on dated 18/5/22 | One PMAY house under construction was partially Damage No casualties . | 0,18-05-2022,{},,,,
Hailakandi,Lala - Narsingpore TE under Lala Rev Circle on Date- 23/06/2022 | More than 30 places of land slide of small to moderate scale have been observed in the tea garden | 0,27-06-2022,{'Lala ': 1},,,,
Hailakandi,Katlicherra - Jamira Pt. III under Katlicherra Revenue Circle | A boy namely Krban Ali Barbhuiya was died on DTD. 8/07/2022 due to landslide at Jamira Pt. III under Katlicherra Revenue Circle | 1,08-07-2022,{'Katlicherra ': 1},,,,
Hailakandi,"Hailakandi - Mohanpur Grant under Hailakandi Circle dtd. 14.05.2022 | Casuality- NIL | Total house-3 nos. damaged (1 under construction PMAY house, 1 kutcha house and 1 Hut (severely damaged)) | 5",15-05-2022,{},,,,
Hailakandi,"Algapur - Burniebrese T.E under Algapur Revenue Circle Dtd. 18.06.2022 | A landslide reported at around 10.30am house of Anjan Das prtially damaged | 5,  Katlicherra - Dinonathpur Pt. I under Katlicherra Revenue Circle on DTD. 18/06/2022 | A landslide occurred at Dinonathpur Pt. I under Katlicherra Revenue Circle on DTD. 18/06/2022 at 7.30 am where a boy namely Bahar Uddin Mazumder was died in the said incident. Area of landslide - Length- 30 meter, Breadth - 20 meter | 1",18-06-2022,"{'Algapur ': 3, 'Katlicherra ': 1}",,,,
Hailakandi,"Hailakandi - Ratanpur Pt-1 under Hailakandi Revenue Circle DTD. 18.06.2022 | Due to incessant rain 11 nos. of houses are partially damaged. No casualities. | 60,  Katlicherra - village Alexanderpur grant, Katlicherra dated 19.06.2022 | A landslide has been occured at alexanderpur Grant where a kutcha house was partially damaged under Katlicherra Revenue Circle dated 19.06.2022. | 2,  Lala - Village Lalacherra | Due to incessant rain minior landside under lala Revenue circle.Hailakandi on dtd.19.06.2022 | 2000",19-06-2022,"{'Katlicherra ': 4, 'Lala ': 1}",,,,
Hailakandi,"Hailakandi - 1)Bondukmara RA 2),Balikandi grant(3),Ratanpur pt 1,(4)MohonpurGrant | 1)10 houses partially damaged and 12 houses severely Damaged.Lat-24.667574 long-92.55265 under Hailakandi Revenue circle on dated 20/6/22.(2)One Severely pakka house was damaged on dated 20/6/22 latitude-24.728013 longitude -92.515625 Hailakandi Revenue circle (3) One Severely kutcha house damaged on dated 19/6/22 latitude -24.678105, longitude-92.644975 under Hailakandi Revenue circle .(4) 2 partially house damaged, latitude-24.7064468 longitude-92.6137664. 3 nos pucca partially house damaged latitude-24.68924 longitude 92.644821. 7 nos severely kutcha house damaged latitude-24.7064468 longitude 92.6137664 ,2 nos severely pucca house damaged on dated 18/6/22latitude-24.7064468 longitude-92.6137664 | 163",17-07-2022,{},,,,
