District,Total,Male,Female,Children Details,Date,Details,,,,
Cachar,3,2,0,1,15-05-2022,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 3), (Sonai | 0), (Udharbond | 0)",,,,
Cachar,3,1,0,2,16-05-2022,"(Katigorah | 1), (Lakhipur | 0), (Silchar | 2), (Sonai | 0), (Udharbond | 0)",,,,
Nagaon,1,1,0,0,17-05-2022,"(Kampur | 1), (Raha | 0)",,,,
Cachar,1,0,0,0,21-05-2022,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 1), (Sonai | 0), 1 (Udharbond | 0)",,,,
Nagaon,1,1,0,0,26-05-2022,"(Kampur | 0), (Nagaon | 0), (Raha | 1)",,,,
Bajali,1,1,0,0,15-06-2022,(Bajali | 1),,,,
Hojai,1,1,0,0,17-06-2022,"(Doboka | 0), (Hojai | 1), (Lanka | 0)",,,,
Bajali,1,1,0,0,18-06-2022,"(Bajali | 1), (Sarupeta | 0)",,,,
Hojai,4,0,1,3,18-06-2022,"(Doboka | 0), (Hojai | 4), (Lanka | 0)",,,,
Karbi Anglong West,1,1,0,0,18-06-2022,(Donkamokam | 1),,,,
Kokrajhar,1,1,0,0,18-06-2022,"(Bagribari | 1), (Bhawraguri | 0), (Dotma | 0), (Gossaigaon | 0), (Kokrajhar | 0)",,,,
Tamulpur,1,1,0,0,18-06-2022,"(Goreswar | 1), (Tamulpur | 0)",,,,
Tamulpur,1,1,0,0,19-06-2022,"(Goreswar | 0), (Tamulpur | 1)",,,,
Udalguri,1,1,0,0,19-06-2022,"(Harisinga | 0), (Kalaigaon | 0), (Khairabari | 0), (Mazbat | 0), (Udalguri | 1)",,,,
Hojai,1,1,0,0,19-06-2022,"(Doboka | 1), (Hojai | 0), (Lanka | 0)",,,,
Dibrugarh,4,4,0,0,19-06-2022,(Chabua | 4),,,,
Cachar,1,1,0,0,19-06-2022,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 0), (Sonai | 1), (Udharbond | 0)",,,,
Cachar,1,1,0,0,20-06-2022,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 1), (Sonai | 0), (Udharbond | 0)",,,,
Darrang,1,1,0,0,20-06-2022,"(Dalgaon | 0), (Mangaldoi | 1), (Patharighat | 0), (Sipajhar | 0)",,,,
Kamrup,2,1,0,1,20-06-2022,"(Chamaria | 0), (Chaygaon | 0), (Goroimari | 0), (Hajo | 0), (Kamalpur | 0), (Kayan | 0), (North Ghy | 1), (Palashbari | 0), (Rangia | 1)",,,,
Tamulpur,1,1,0,0,20-06-2022,"(Goreswar | 0), (Tamulpur | 1)",,,,
Udalguri,2,1,0,1,20-06-2022,"(Harisinga | 0), (Kalaigaon | 0), (Khairabari | 1), (Mazbat | 0), (Udalguri | 1)",,,,
Kamrup,1,1,0,0,21-06-2022,"(Chamaria | 0), (Chaygaon | 0), (Goroimari | 0), (Hajo | 0), (Kamalpur | 0), (Kayan | 0), (Nagarbera | 0), (North Ghy | 1), (Palashbari | 0), (Rangia | 0)",,,,
Darrang,1,1,0,0,26-06-2022,"(Dalgaon | 0), (Mangaldoi | 0), (Patharighat | 0), (Sipajhar | 1)",,,,
Dhubri,1,1,0,0,26-06-2022,"(Athani | 0), (Bilasipara | 0), (Dhubri | 1), (Gauripur | 0), (South Salmara Part | 0)",,,,
Cachar,1,1,0,,27-06-2022,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 1), (Sonai | 0), 0 (Udharbond | 0)",,,,
Chirang,1,1,0,0,28-06-2022,"(Bengtal | 0), (Bijni | 1), (Sidli | 0)",,,,
Cachar,2,1,0,1,28-06-2022,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 1), (Sonai | 1), (Udharbond | 0)",,,,
Cachar,1,0,1,,30-06-2022,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 1), (Sonai | 0), 0 (Udharbond | 0)",,,,
Cachar,1,1,0,,04-07-2022,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 0), (Sonai | 0), 0 (Udharbond | 1)",,,,
Nagaon,2,2,0,0,19-05-2022,"(Kampur | 2), (Nagaon | 0), (Raha | 0)",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
