District,Total,Big,Small,Poultry,Date,,,,,
Bajali,1351,692,659,0,16-05-2022,,,,,
Udalguri,1010,205,255,550,16-05-2022,,,,,
Nagaon,7400,4850,1050,1500,16-05-2022,,,,,
Lakhimpur,633,438,195,0,16-05-2022,,,,,
Dibrugarh,1385,1223,162,1,16-05-2022,,,,,
Biswanath,9906,5987,3919,0,16-05-2022,,,,,
Cachar,25689,19625,6064,0,16-05-2022,,,,,
Darrang,2100,470,630,0,16-05-2022,,,,,
Kamrup,5244,2482,1270,492,17-05-2022,,,,,
Bajali,996,521,475,0,17-05-2022,,,,,
Hailakandi,613,150,180,283,17-05-2022,,,,,
Biswanath,11702,8285,3417,0,17-05-2022,,,,,
Hojai,89,27,52,10,17-05-2022,,,,,
Dibrugarh,1599,1412,187,6,17-05-2022,,,,,
Darrang,224315,115632,44173,4510,17-05-2022,,,,,
Lakhimpur,5583,3603,1980,1,17-05-2022,,,,,
Nagaon,17929,11725,3754,2450,17-05-2022,,,,,
Nalbari,29889,9134,8055,2700,17-05-2022,,,,,
Sonitpur,2321,1669,652,1,17-05-2022,,,,,
Udalguri,979,485,319,175,17-05-2022,,,,,
Darrang,143146,64302,37744,41100,18-05-2022,,,,,
Cachar,31851,20637,11214,0,18-05-2022,,,,,
Bajali,80,30,50,0,18-05-2022,,,,,
Sonitpur,2321,1669,652,0,18-05-2022,,,,,
Udalguri,3755,2381,1174,200,18-05-2022,,,,,
Lakhimpur,6957,4183,2774,0,18-05-2022,,,,,
Nalbari,41777,15863,13214,12700,18-05-2022,,,,,
Dibrugarh,1599,1412,187,0,18-05-2022,,,,,
Hailakandi,553,305,30,218,18-05-2022,,,,,
Nagaon,38523,23774,7484,7265,18-05-2022,,,,,
Hojai,19224,7354,3232,8638,18-05-2022,,,,,
Biswanath,5166,3972,1194,0,18-05-2022,,,,,
Kamrup,12897,5504,3228,4165,18-05-2022,,,,,
Sonitpur,2321,1669,652,0,19-05-2022,,,,,
Nalbari,23375,10425,11150,1800,19-05-2022,,,,,
Nagaon,76849,44502,21465,10882,19-05-2022,,,,,
Lakhimpur,8132,4308,3124,700,19-05-2022,,,,,
Kamrup,14114,5972,3834,4308,19-05-2022,,,,,
Udalguri,71,10,16,45,19-05-2022,,,,,
Hailakandi,200,65,30,105,19-05-2022,,,,,
Goalpara,1053,588,465,0,19-05-2022,,,,,
Dibrugarh,1599,1412,187,0,19-05-2022,,,,,
Darrang,124994,58904,25180,40910,19-05-2022,,,,,
Cachar,15618,10118,5500,0,19-05-2022,,,,,
Biswanath,6250,4969,1281,0,19-05-2022,,,,,
Barpeta,24273,12004,7269,5000,19-05-2022,,,,,
Hojai,13829,3164,1647,9018,19-05-2022,,,,,
Dhemaji,92,58,34,0,19-05-2022,,,,,
Karimganj,942,578,364,0,19-05-2022,,,,,
Hojai,7009,1546,332,5131,21-05-2022,,,,,
Kamrup,17851,7901,4206,5744,21-05-2022,,,,,
Sonitpur,4210,2876,1334,0,21-05-2022,,,,,
Nalbari,17069,6838,7931,2300,21-05-2022,,,,,
Nagaon,100084,55413,27369,17302,21-05-2022,,,,,
Lakhimpur,74,19,15,40,21-05-2022,,,,,
Barpeta,85033,25246,14508,45279,21-05-2022,,,,,
Darrang,121611,60557,25544,35510,21-05-2022,,,,,
