District,Total,Flood Death,General Drowning (Non Flood),Landslide,Date,,,,,
Cachar,2,2,0,,16-05-2022,,,,,
Darrang,1,1,0,0,18-05-2022,,,,,
Nagaon,1,1,0,0,19-05-2022,,,,,
Cachar,2,2,0,0,20-05-2022,,,,,
Lakhimpur,1,1,0,0,20-05-2022,,,,,
Nagaon,1,1,0,0,20-05-2022,,,,,
Hojai,1,1,0,0,21-05-2022,,,,,
Nagaon,1,1,0,0,21-05-2022,,,,,
Cachar,2,2,0,0,21-05-2022,,,,,
Hojai,1,1,0,0,22-05-2022,,,,,
Cachar,1,1,0,0,22-05-2022,,,,,
Nagaon,4,4,0,0,22-05-2022,,,,,
Cachar,1,1,0,0,23-05-2022,,,,,
Cachar,1,1,0,0,24-05-2022,,,,,
Nagaon,1,1,0,0,24-05-2022,,,,,
Cachar,1,1,0,0,25-05-2022,,,,,
Nagaon,1,1,0,0,25-05-2022,,,,,
Nagaon,2,2,0,0,28-05-2022,,,,,
Cachar,2,2,0,0,30-05-2022,,,,,
Nagaon,2,2,0,0,30-05-2022,,,,,
Cachar,2,2,0,0,01-06-2022,,,,,
Kamrup (M),4,0,0,4,14-06-2022,,,,,
Dima-Hasao,1,0,1,0,16-06-2022,,,,,
Goalpara,2,0,0,2,16-06-2022,,,,,
Udalguri,1,1,0,0,16-06-2022,,,,,
Bajali,1,1,0,0,17-06-2022,,,,,
Dhubri,1,1,0,0,17-06-2022,,,,,
Hojai,2,2,0,0,17-06-2022,,,,,
Kamrup,1,1,0,0,17-06-2022,,,,,
Kokrajhar,1,1,0,0,17-06-2022,,,,,
Nalbari,2,2,0,0,17-06-2022,,,,,
Sonitpur,1,1,0,0,17-06-2022,,,,,
Sonitpur,1,1,0,0,18-06-2022,,,,,
Nalbari,1,1,0,0,18-06-2022,,,,,
Hailakandi,1,0,0,1,18-06-2022,,,,,
Karimganj,2,0,0,2,18-06-2022,,,,,
Barpeta,2,2,0,0,18-06-2022,,,,,
Darrang,1,1,0,0,18-06-2022,,,,,
Bajali,1,1,0,0,19-06-2022,,,,,
Barpeta,2,2,0,0,19-06-2022,,,,,
Cachar,3,0,0,3,19-06-2022,,,,,
Kamrup,1,1,0,0,19-06-2022,,,,,
Karimganj,1,1,0,0,19-06-2022,,,,,
Udalguri,1,1,0,0,19-06-2022,,,,,
Cachar,1,1,0,0,20-06-2022,,,,,
Nagaon,2,2,0,0,20-06-2022,,,,,
Lakhimpur,1,0,1,0,20-06-2022,,,,,
Kamrup,1,1,0,0,20-06-2022,,,,,
Hojai,1,1,0,0,20-06-2022,,,,,
Hailakandi,1,1,0,0,20-06-2022,,,,,
Dibrugarh,1,1,0,0,20-06-2022,,,,,
Darrang,3,3,0,0,20-06-2022,,,,,
Darrang,1,1,0,0,21-06-2022,,,,,
Tamulpur,1,1,0,0,21-06-2022,,,,,
Udalguri,1,1,0,0,21-06-2022,,,,,
Kamrup,3,3,0,0,21-06-2022,,,,,
Karimganj,1,1,0,0,21-06-2022,,,,,
Kamrup,2,2,0,0,22-06-2022,,,,,
Nalbari,3,3,0,0,22-06-2022,,,,,
Hojai,4,4,0,0,22-06-2022,,,,,
Barpeta,3,3,0,0,22-06-2022,,,,,
Dhubri,1,1,0,0,23-06-2022,,,,,
Tamulpur,1,1,0,0,23-06-2022,,,,,
Cachar,2,2,0,0,23-06-2022,,,,,
Barpeta,2,2,0,0,23-06-2022,,,,,
Bajali,1,1,0,0,23-06-2022,,,,,
Golaghat,1,1,0,0,25-06-2022,,,,,
Darrang,1,1,0,0,25-06-2022,,,,,
Cachar,1,1,0,0,25-06-2022,,,,,
Barpeta,1,1,0,0,25-06-2022,,,,,
Morigaon,1,1,0,0,26-06-2022,,,,,
Karimganj,1,1,0,0,26-06-2022,,,,,
Cachar,1,1,0,0,26-06-2022,,,,,
Barpeta,1,1,0,0,26-06-2022,,,,,
Darrang,1,1,0,0,26-06-2022,,,,,
Kamrup (M),1,1,0,0,27-06-2022,,,,,
Morigaon,1,1,0,0,27-06-2022,,,,,
Nagaon,1,1,0,0,27-06-2022,,,,,
Cachar,5,5,0,0,27-06-2022,,,,,
Morigaon,1,1,0,0,28-06-2022,,,,,
Dhubri,1,1,0,0,28-06-2022,,,,,
Cachar,3,3,0,0,28-06-2022,,,,,
Nagaon,1,1,0,0,29-06-2022,,,,,
Lakhimpur,1,1,0,0,29-06-2022,,,,,
