District,RevenueCircle,Population affected,Date
Nalbari,ghograpar,0,2022-05-15
Nagaon,raha,0,2022-05-15
Nagaon,kampur,19,05-15-2022
Cachar,udharbond,957,05-15-2022
Cachar,lakhipur,80,05-15-2022
Cachar,sonai,0,2022-05-15
Cachar,silchar,10000,2022-05-15
Cachar,katigorah,30000,2022-05-15
Dhemaji,dhemaji,644,2022-05-15
Hojai,lanka,0,2022-05-15
Hojai,hojai,13523,2022-05-15
Hojai,doboka,0,2022-05-15
Karbi Anglong West,donkamokam,1446,2022-05-15
Bajali,bajali,183,2022-05-16
Tamulpur,goreswar,1000,2022-05-16
Sonitpur,dhekiajuli,1340,2022-05-16
Sonitpur,thelamara,0,2022-05-16
Sonitpur,chariduar,4002,2022-05-16
Sonitpur,tezpur,1029,2022-05-16
Nalbari,paschim,0,05-16-2022
Nalbari,ghograpar,0,2022-05-16
Nalbari,tihu,105,2022-05-16
Nagaon,raha,0,05-16-2022
Nagaon,kampur,15417,2022-05-16
Majuli,ujani,0,2022-05-16
Majuli,majuli,0,2022-05-16
Lakhimpur,nowboicha,0,2022-05-16
Lakhimpur,narayanpur,248,2022-05-16
Lakhimpur,bihpuria,6049,2022-05-16
Hojai,lanka,1034,2022-05-16
Hojai,hojai,29795,2022-05-16
Hojai,doboka,47328,2022-05-16
Karbi Anglong West,donkamokam,3853,2022-05-16
Kamrup,rangia,359,2022-05-16
Udalguri,harisinga,0,2022-05-16
Udalguri,khairabari,619,2022-05-16
Udalguri,udalguri,2242,2022-05-16
Udalguri,kalaigaon,4232,2022-05-16
Udalguri,mazbat,2214,2022-05-16
Charaideo,sapekhati,67,2022-05-16
Dima-Hasao,haflong,1270,05-16-2022
Dibrugarh,chabua,4587,2022-05-16
Dibrugarh,naharkatia,37,2022-05-16
Kokrajhar,bhawraguri,0,2022-05-16
Kokrajhar,gossaigaon,0,2022-05-16
Kokrajhar,bagribari,0,2022-05-16
Dhemaji,dhemaji,644,2022-05-16
Dhemaji,jonai,0,2022-05-16
Darrang,patharighat,1495,2022-05-16
Darrang,dalgaon,7970,2022-05-16
Darrang,mangaldoi,3217,2022-05-16
Biswanath,gohpur,1500,2022-05-16
Biswanath,halem,2013,2022-05-16
Biswanath,biswanath,2001,2022-05-16
Cachar,udharbond,957,2022-05-16
Cachar,sonai,0,2022-05-16
Cachar,lakhipur,400,05-16-2022
Cachar,silchar,10000,2022-05-16
Cachar,katigorah,40000,2022-05-16
Baksa,baksa,41,05-16-2022
Charaideo,sapekhati,127,05-17-2022
Sonitpur,naduar,738,05-17-2022
Sonitpur,thelamara,0,05-17-2022
Sonitpur,chariduar,5791,2022-05-17
Sonitpur,dhekiajuli,1986,2022-05-17
Sonitpur,tezpur,1201,05-17-2022
Nalbari,barbhag,0,2022-05-17
Nalbari,banekuchi,176,05-17-2022
Nalbari,nalbari,0,05-17-2022
Nalbari,paschim,1241,05-17-2022
Nalbari,ghograpar,292,05-17-2022
Nalbari,tihu,478,2022-05-17
Nagaon,raha,219,2022-05-17
Nagaon,kampur,58756,05-17-2022
Morigaon,mayong,0,05-17-2022
Morigaon,morigaon,0,05-17-2022
Majuli,majuli,0,05-17-2022
Majuli,ujani,0,2022-05-17
Lakhimpur,north,1809,2022-05-17
Lakhimpur,nowboicha,915,2022-05-17
Lakhimpur,narayanpur,797,2022-05-17
Lakhimpur,bihpuria,8094,2022-05-17
Tamulpur,tamulpur,0,2022-05-17
Tamulpur,goreswar,0,2022-05-17
Kokrajhar,kokrajhar,0,2022-05-17
Kokrajhar,gossaigaon,0,2022-05-17
Kokrajhar,bhawraguri,0,2022-05-17
Kokrajhar,bagribari,0,05-17-2022
WestKarimganj,badarpur,248,2022-05-17
WestKarimganj,karimganj,2816,2022-05-17
Karbi Anglong,donkamokam,800,2022-05-17
Kamrup,rangia,3242,2022-05-17
Kamrup,kayan,475,2022-05-17
Hojai,lanka,4126,2022-05-17
Hojai,hojai,30497,2022-05-17
Hojai,doboka,53797,2022-05-17
Hailakandi,algapur,2140,2022-05-17
Goalpara,rongjuli,0,2022-05-17
Dima-Hasao,haflong,1270,2022-05-17
Dibrugarh,chabua,4587,2022-05-17
Bajali,bajali,65,2022-05-17
Barpeta,sarthebari,0,2022-05-17
Biswanath,naduar,3234,2022-05-17
Biswanath,gohpur,9325,05-17-2022
Biswanath,halem,23721,05-17-2022
Biswanath,biswanath,3594,05-17-2022
Bongaigaon,srijangram,0,05-17-2022
Bongaigaon,boitamari,0,2022-05-17
Dhemaji,dhemaji,612,2022-05-17
Dhemaji,jonai,0,2022-05-17
Dhemaji,sissiborgaon,0,2022-05-17
Darrang,patharighat,18295,2022-05-17
Darrang,mangaldoi,22219,2022-05-17
Darrang,dalgaon,16446,2022-05-17
Darrang,sipajhar,0,2022-05-17
Cachar,katigorah,65000,2022-05-17
Cachar,silchar,20000,2022-05-17
Cachar,lakhipur,6740,2022-05-17
Cachar,udharbond,1205,2022-05-17
Cachar,sonai,3752,2022-05-17
Udalguri,harisinga,0,2022-05-17
Udalguri,kalaigaon,19998,2022-05-17
Udalguri,mazbat,2174,2022-05-17
Udalguri,udalguri,123,05-17-2022
Udalguri,khairabari,231,2022-05-17
Kokrajhar,kokrajhar,0,2022-05-18
Kokrajhar,bagribari,0,2022-05-18
Udalguri,udalguri,7766,05-18-2022
Udalguri,kalaigaon,11355,2022-05-18
Udalguri,khairabari,629,2022-05-18
Udalguri,harisinga,5,2022-05-18
Tamulpur,tamulpur,0,2022-05-18
Sonitpur,naduar,738,05-18-2022
Sonitpur,dhekiajuli,894,05-18-2022
Sonitpur,chariduar,4632,2022-05-18
Sonitpur,tezpur,1201,2022-05-18
Nalbari,nalbari,0,2022-05-18
Nalbari,barbhag,0,05-18-2022
Nalbari,banekuchi,120,2022-05-18
Nalbari,barkhetri,0,2022-05-18
Nalbari,paschim,1241,05-18-2022
Nalbari,tihu,7964,2022-05-18
Nalbari,ghograpar,0,2022-05-18
Nagaon,raha,56125,2022-05-18
Nagaon,kampur,230380,2022-05-18
Nagaon,nagaon,1807,05-18-2022
Morigaon,mayong,0,2022-05-18
Morigaon,morigaon,0,2022-05-18
Majuli,majuli,0,2022-05-18
Majuli,ujani,0,2022-05-18
Lakhimpur,nowboicha,915,2022-05-18
Lakhimpur,north,600,2022-05-18
Lakhimpur,narayanpur,110,05-18-2022
Lakhimpur,bihpuria,4692,2022-05-18
Karimganj,badarpur,210,2022-05-18
Karimganj,karimganj,3356,2022-05-18
Karbi Anglong,donkamokam,3966,2022-05-18
Kamrup,kayan,416,2022-05-18
Kamrup,rangia,419,2022-05-18
Hojai,doboka,53795,2022-05-18
Hojai,hojai,46569,2022-05-18
Hojai,lanka,6835,2022-05-18
Kamrup (M),chandrapur,0,2022-05-18
Goalpara,rongjuli,0,2022-05-18
Bajali,bajali,62,05-18-2022
Baksa,barama,3,2022-05-18
Barpeta,chenga,0,2022-05-18
Barpeta,sarthebari,0,2022-05-18
Barpeta,baghbar,0,05-18-2022
Barpeta,kalgachia,0,05-18-2022
Biswanath,halem,19012,05-18-2022
Biswanath,naduar,1450,05-18-2022
Biswanath,gohpur,4036,05-18-2022
Biswanath,biswanath,2784,2022-05-18
Hailakandi,algapur,760,2022-05-18
Cachar,sonai,10105,2022-05-18
Cachar,lakhipur,6740,2022-05-18
Cachar,udharbond,1830,05-18-2022
Cachar,silchar,30000,2022-05-18
Cachar,katigorah,70995,05-18-2022
Bongaigaon,manikpur,0,2022-05-18
Bongaigaon,bongaigaon,0,2022-05-18
Bongaigaon,boitamari,0,2022-05-18
