District,Details,Date,NumberofDamages_RevenueCircle_level (computed),,,,
Nalbari,"Nalbari - hajo road, collage road,forest office road, | affected due to rain water as per report received from LM as on 19.06.2022 | 750",19-06-2022,{'Nalbari ': 4},,,,
Nalbari,"Nalbari - Hazo Nalbari Road, Palla Road, Barama Road, NT Road | This places are submerged due to continuous heavy rain on 17/06/2022 | 2530",17-06-2022,{'Nalbari ': 4},,,,
Nalbari,"Nalbari - ward No-11 (Hajo-Nalbari Road), Ward No-12(Nalbari-Palla Road) | Due to rain water these area are submerged as per report received by LM on date 06/05/2022. | 300",06-06-2022,{'Nalbari ': 2},,,,
Nalbari,"Nalbari - Palla road, Hazo road, Bidyapur, Gopalbazar, Barama road, College road, Nagira Chowk and Sarathi road | This places are affected due to urban flood on 15/06/2022 | 5000",16-06-2022,{'Nalbari ': 7},,,,
Nalbari,"Nalbari - Hajo road, palla road, bidyapur, forest office road, circuit house road, sarathi road, collage road, nagira chowk, udaypur | Due to rain water. Dated : 15/06/2022 | 3500",15-06-2022,{'Nalbari ': 9},,,,
Nalbari,"Nalbari - Nalbari rown | Nalbari Palla PWD road submerged, Nalbari Alternative Road in front of eye hospital  submerged, Bishnu Rabha Path submerged as per information received from PWD Roads  Department on 15/05/2022  | 0",15-05-2022,{'Nalbari ': 1},,,,
Nalbari,"Nalbari - Hajo Road, Palla Road , Circuit House Road,Bidyapur. MNC Collage Road, Forest Office Road, Gopal Bazar, Sarathi Road, Collage Road, Nagira Chowk, Udaypur | Due to continuous raining urban flood is occurred report received from LM on 14.06.2022. | 3500",14-06-2022,{'Nalbari ': 10},,,,
Nalbari,"Nalbari - Palla Road(Ward No-11), Collage road(ward no-7), Gopal Bazar(W.N-12), Pushpakpur (W.N-10), Bidyapur(W.N-3) Deviram School Road(W.N-2), Hajo Road(W.N-7) | Due to continuous raining urban flood is occurred. Report is received from Lot Mandal Dated: 18/05/2022 | 2600",18-05-2022,{'Nalbari ': 6},,,,
Nalbari,"Nalbari - Hajo Road, Palla Road , Circuit House Road,Bidyapur. MNC Collage Road, Forest Office Road, Gopal Bazar, Sarathi Road, Collage Road, Nagira Chowk, Udaypur | as per LM report above mentioned places are faced urban flood due to continuous raining, Dated: 18/06/2022 | 2500",18-06-2022,{'Nalbari ': 10},,,,
Kamrup (M),"Dispur - Hatigaon, Keraikuchi, Rukminigaon | Waterlogging occurred on 13/10/2022 | 0",13-10-2022,{},,,,
Kamrup (M),"Dispur - Hatigaon, Rukminigaon | Due to rain waterlogging took place on 25/07/2022 | 0",25-07-2022,{},,,,
Kamrup (M),"Dispur - Hatigaon, Rukminigaon, Keraikuchi, Beharbari | Partial water-logging occurred on 03/09/2022 |
0",04-09-2022,{},,,,
Kamrup (M),"Dispur - Hatigaon, Wireless, Keraikuchi, Kahilipara | Partial Water-logging took place on 19/05/2022 | 0",19-05-2022,{},,,,
Kamrup (M),"Dispur - Hatigaon, Keraikuchi, Wireless, Anil Nagar | Partial Waterlogging due to heavy rain on 15/05/2022 | 0",15-05-2022,{},,,,
Kamrup (M),"Dispur - Keraikuchi, Sijubari, Hatigaon, Wireless, Rukminigaon, PIBCO, Jatia, Beharbari | Water-logging on 06/06/2022 | 0",06-06-2022,{},,,,
Kamrup (M),"Dispur - Keraikuchi, Sijubari Hatigaon, Wireless, Rukminigaon, PIBCO, Kahilipara | Due to heavy rainfall waterlogging took place on 01/06/2022 | 0",01-06-2022,{},,,,
Kamrup (M),"Dispur - Keraikuchi, Sijubari, Hatigaon, Wireless, Rukminigaon, PIBCO, Kahilipara, Juripar | Due to heavy rainfall waterlogging took place on 05/06/2022 | 0",05-06-2022,{},,,,
