District,Details,Date,NumberofDamages_RevenueCircle_level (computed),,,,
Kamrup (M),"Dispur - Khanapara, Rukminigaon, GS Road, Beharbari, Keraikuchi, Hatigaon, VIP, Hengrabari,
Kahilipara, Anil Nagar, Nabi Naga | Due to heavy rainfall on 12/09/2022 water-logging occurs | 0",13-09-2022,{},,,,
Kamrup (M),"Guwahati - BG Colony maligaon | Partial water logging on 18-06-2022 | 0,  Dispur - Rukminigaon, Keraikuchi, Sawkuchi, Jatia, Hatigaon, Baghorbari, Hengrabari | waterlogging on 18/06/2022 | 0",18-06-2022,{'Guwahati ': 1},,,,
Kamrup (M),"Dispur - Beharbari, Keraikuchi, Hatigaon, Rukminigaon, Rukmininagar, Ganeshguri, GS Road-ABC,
Tarun Nagar, Anil Nagar, Nabin Nagar | Due to heavy rainfall on 06/09/2022 waterlogging occurred | 0",07-09-2022,{},,,,
Kamrup (M),"Guwahati - B.Boruah Road, Maligaon | Partial water logging on 17/06/2022 | 0,  Dispur - Nabin Nagar, Anil Nagar, Narengi, Satgaon, Keraikuchi, Rukminigaon, Hatigaon | waterlogging due to rain on 17/06/2022 | 0",17-06-2022,{'Guwahati ': 2},,,,
Kamrup (M),"Guwahati - Tetelia | Water logging on 19/06/2022 | 0,  Dispur - Hatigaon, Sarumotoria, Noonmati Garden, Satgaon, Rukminigaon, Keraikuchi, Sawkuchi, Hengrabari, Baghorbari, Jatia | waterlogging on 19/06/2022 | 0",19-06-2022,{'Guwahati ': 1},,,,
Kamrup (M),"Dispur - Hatigaon, Keraikuchi, Rukminigaon | Water-logging occurred due to heavy rainfall on 03/10/2022 | 0,  Guwahati - South sarania, santipur, bhootnath | Due to rain waterlogging took place on 02/10/2022 | 0",03-10-2022,{'Guwahati ': 3},,,,
Kamrup (M),"Guwahati - B.Baruah Road, Jalukbari, BG Colony | Partial watter logging on 20-06-2022 | 0,  Dispur - Rukminigaon, Hatigaon, Sarumotoria, Sawkuchi, Hengrabari, Baghorbari, Jatia Birina Path | waterlogging on 20/06/2022 | 0",20-06-2022,{'Guwahati ': 3},,,,
Kamrup (M),"Guwahati - Bhootnath, Maligaon, Bamunimaidan, Boragaon, Gotanagar | Partial water logging aetificial flood | 0,  Dispur - Jyotikuchi, Beharbari, Satgaon, Janasimolu, Anil Nagar, Nabin Nagar, Tarun Nagar, Hatigaon, Sijubari, Rukminigaon, Zoo Road, Odalbakra, Keraikuchi | Due to heavy rainfall waterlogging took place on 16/02/2022. | 0",16-06-2022,{'Guwahati ': 5},,,,
Kamrup (M),"Guwahati - Noonmati, Bhoothnath, Maligaon, Boragaon, Gotanagar, Fatasil, Bamunimaidan, Rajgarh | partial water logging took place on 15/06/2022 | 0,  Dispur - Hatigaon, Sijubari, Rukminigaon, Wireless, PIBCO Point, Borbari, Six Mile, Anil Nagar, Nabin Nagar, Zoo Road, Kahilipara, Juripar, Odalbakra, Keraikuchi | Due to heavy rainfall waterlogging took place on 15/06/2022 | 24300",15-06-2022,{'Guwahati ': 8},,,,
Kamrup (M),"Dispur - Keraikuchi, Sarusajai, Hatigaon, Wireless, Hatigaon, Below Bhangaghar Flyover, Anil Nagar-Nabin Nagar, Rukminigaon, Rukmininagar, PIBCO, Juripar, Jatia, Kahilipara, Zoo Road, Hatigarh Chariali | Water-logging due to heavy rainfall on 25/05/2022 | 0,  Guwahati - Bamunimaidam, Chandmari, Nepali Chowk, Santipur, Guwahati Club Ambari, Lamb Road, Ulubari, Anil Nagar, Raj Garh Road, Maligaon, Pandu, Durgasarabor, Bhootnath | Due to heavy rainfall waterlogging took place on 25/05/2022. | 0",25-05-2022,{'Guwahati ': 13},,,,
Kamrup (M),"Azara - Dharapur Chowk | Water logging on 14/06/2022 | 0,  Guwahati - Noonmati, Bamunimaidan, Guwahati Club, Chandmari, Silphukuri, Ulubari, Paltanbazar, Bharalu, Kumarpara, Santipur, Athgaon, Maligaon, Bhoothnath, Kalipur, Gotanagar, Boragaon, Jalukbari, Pandu, Adabari, GS Road, Anil Nagar, Nabin Nagar, Lachit Nagar, rajgarh road, Dhirenpara, Manpara, Ganeshpara | Artificial flood, waterlogging on 14/06/2022 | 0,  Dispur - Sawkuchi, Tarun Nagar, Anil Nagar, Satgaon, Noonmati, Tetelia, Garhchuk, Rukmini gaon, Six mile, GS Road, Borbari, Hatigaom, Fatashil Ambari, Kahilipara, Jyotia, LalganeshPibco, Beltola, Narengi, Zoo Tiniali, Rajgarh | Artificial Flood Waterlogging Occured date on 14/06/2022 | 550",14-06-2022,{'Guwahati ': 27},,,,
Kamrup (M),"Sonapur - 12th Mile Ambher Village | Due to heavy rainfall waterlogging took place on 17/05/2022 | 0, Azara - Dharapur, VIP AZARA | Due to heavy rainfall waterlogging took place on 17/05/2022 | 0, Dispur - Hatigaon, Hatigaon-Sijubari, Wireless, Rukminigaon, PIBCO, Rukmini Nagar, Kalapahar, Anil Nagar, Nabin Nagar, Kerakuchi, Barsajai, Beharbari, 10th APBN Police Battalion Gate, Kahilipara Deaf and Dump School, Kahilipara Birina Path, Jaria, Darandha-Juripar, Dwarka Nagar, Down Town Hospital Backside | Due to heavy rainfall waterlogging took place on 17/05/2022 | 0, Guwahati - Jalukbari, Guwahati University, Chandmari, AGP Office, Ambari, Santipur | Due to heavy rainfall waterlogging took place on 17/05/2022 | 0",17-05-2022,"{'Sonapur ': 1, 'Guwahati ': 6}",,,,
Darrang,"Mangaldoi - Ward No. 2,4 | The water logging due to river bega is reciding .Dated 21-6-2022 | 8000",21-06-2022,{'Mangaldoi ': 2},,,,
Darrang,"Mangaldoi - Ward No. 1,2,3,4,5,6,7,8,9,10 | due to rising of water level of river Bega and other rivers | 25000",18-06-2022,{'Mangaldoi ': 10},,,,
Darrang,Mangaldoi - Ward No-2 Ward No-4 | The water logging due to river Bega is receding dated as on 22-06-2022 | 8000,22-06-2022,{'Mangaldoi ': 1},,,,
Darrang,"Mangaldoi - Ward No. 2,4,5,10 | The water logging due to rising of river bega is receding.Dated-20-6-2022 | 12000",20-06-2022,{'Mangaldoi ': 4},,,,
Darrang,"Dalgaon - Kharupetia Town | Due to havy rain waterlogging at Kharupetia Town ( ward No.1 ,2,3,4,5) dated 17-05-2022 | 3000",17-05-2022,{'Dalgaon ': 1},,,,
Darrang,"Mangaldoi - Mangaldai town Ward No 1,2,3,4,5,6,7&8 | Due to rising water level of river the complete town is flooded dated 17.06.2022 | 25000",17-06-2022,{'Mangaldoi ': 7},,,,
Darrang,"Mangaldoi - Mangaldai town Ward No 1,2,3,4,5,6,7&amp;amp;8 | The people affected due to waterlogging and flooding of river Bega as on dated 19-05-2022. | 1200",19-05-2022,{'Mangaldoi ': 7},,,,
Darrang,"Mangaldoi - Mangaldai town Ward No 1,2,3,4,5,6,7&8 | The people affected due to waterlogging and flooding of river Bega is same as earlier. Dated 20/05/2022. | 750",20-05-2022,{'Mangaldoi ': 7},,,,
Darrang,"Mangaldoi - Ward No 1,2,3,4,5,6,7,8,9,10 | Due to Heavy Rainfall and water level raising of River Bega and others all wards are under water as on 19-06-2022. | 25000",19-06-2022,{'Mangaldoi ': 10},,,,
Darrang,"Dalgaon - kharupetia town | ward no. 1,3,5,6,7,8,9,10 and 11 of kharupetia town under dalgaon revenue circle was affected due to water logging and total 15000(approx) population was affected. date of occurrence -17/06/2022 to 22/062022 | 15000",25-06-2022,{'Dalgaon ': 1},,,,
Darrang,"Mangaldoi - Mangaldai town Ward No 1,2,3,4,5,6,7&amp;8 | The river Bega and Mangaldai river is over flooded as such the people residing near river banks and low lying areas affected as on 18/05/2022. And moreover heavy fall also caused water logging problems in ward areas. | 1200",18-05-2022,{'Mangaldoi ': 7},,,,
Darrang,"Mangaldoi - Mangaldai town Ward No 6 | Due to incessant rain and rising of river water Bega water logging problem is seen at low lying areas under Mangaldai Town as on 16-06-2022 | 160,  Dalgaon - kharupetia Town | flood situation due to waterlogging at Kharupetia Town ward no. 2 and 4 under dalgaon revenue circle on 16-06-2022 | 2000",16-06-2022,"{'Mangaldoi ': 1, 'Dalgaon ': 1}",,,,
Jorhat,"Jorhat East - Parijat Nagar (13 No. Block) | Water logging at Parijat Nagar on 20/09/2022 due to
heavy rainfall | 0",20-09-2022,{'Jorhat East ': 1},,,,
Jorhat,Jorhat East - 3 no block and 9 no block | Due to heavy rainfall Urban Water logging at DCB road and Sonari Gaon on 19/05/2022 | 16,19-05-2022,{'Jorhat East ': 1},,,,
Jorhat,"Jorhat East - 9 No. Block, 13 No. Block, 14 No. Block, Kenduguri (2no bamun Gaon) | Water logging at 9 No. Block, 13 No. Block, 14 No. Block, Kenduguri (2no bamun Gaon) on 20/05/2022 due to continuous rainfall. | 36",20-05-2022,{'Jorhat East ': 4},,,,
Udalguri,Udalguri - Udalguri Town | Overtopping of goloni river water to nearby houses in Udalguri Town area on 17.06.2022 | 432,18-06-2022,{'Udalguri ': 1},,,,
Udalguri,"Udalguri - Udalguri Town (Ward 01, 02, 04) | Overtopping of drain water to nearby houses in Udalguri Town area on 17.06.2022 | 342",17-06-2022,{'Udalguri ': 3},,,,
Udalguri,Udalguri - Udalguri Town | Continuing of over-topping of Goloni river water to nearby houses in Udalguri Town area from 16-06-2022. | 522,19-06-2022,{'Udalguri ': 1},,,,
Udalguri,"Udalguri - Ward No. 03, Udalguri Town | Over Topping of Drain/Canal water and Water Logging on the nearby roads around 50m in length at Ward no. 03, Udalguri Town on 05.06.2022. | 0",05-06-2022,{'Udalguri ': 2},,,,
Udalguri,"Udalguri - Udalguri Town | As reported by Udalguri Municipal Committee on 30.06.2022, various areas namely near Girls HS School, near Driver Nagar, near Post Office, Near Santoshi Nagar, Near Maidanguri and near Bengali Patty (Ward No. 03) under Udalguri Town are affected from overflowing flood water of drains nearby on 16th, 17th 18th, & 19th June, 2022. | 0,  Harisinga - 1.DAKHIN NALBARI 2. TANGLA WARD/NO.2 | 1.RCC CULVERT AT DAKHIN NALBARI ROAD NEAR JOREPUKHURI AT WARD NO 4 DAMAGED ON 23/06/2022 AROUND 6M. LONG-91.9096 LAT-26.6622 (2)RCC CULVERT DAMAGED ON THE ROAD INFRONT OF TANGLA PHE DIVISION OFFICE AT WARD NO.2 TANGLA TOWN DAMAGED ON 23/06/2022 AROUND 4.50M. LONG-91.9096 LAT-26.6622 | 0",01-07-2022,"{'Udalguri ': 1, 'Harisinga ': 3}",,,,
Kamrup,"Rangia - Rangia Town, Ward No. 6, 3, 2, 1, 5, 4, 8 | Due to incessant rain for the last few days many roads are submerged in rain water as per report of concerned Lot Mandal on 15.06.2022. | 0",15-06-2022,{'Rangia ': 8},,,,
Morigaon,"Morigaon - NABHETI, WARD NO 9 | On dtd. 21-06-2022, as per Lot Mondol overflow of floodwater has reached Nabheti Ward no 9 of Morigaon Revenue Town. | 1320",22-06-2022,{'Morigaon ': 2},,,,
Morigaon,"Morigaon - RAJAGAON (NABHETI, WARD NO 9) | On dtd. 21-06-2022, as per Lot Mondol overflow of floodwater has reached Nabheti Ward no 9 of Morigaon Revenue Town. | 1320",25-06-2022,{'Morigaon ': 2},,,,
Morigaon,"Morigaon - RAJAGAON (NABHETI, WARD NO 9) | On DTD.21-06-2022, as per Lot Mondol overflow of floodwater has reached NABHETI and neighbouring areas of Morigaon Rev Town | 1320",26-06-2022,{'Morigaon ': 2},,,,
Morigaon,"Morigaon - Rajagaon (Nabheti Ward no- 5,9, 10 part, 1 part) | On dtd.21-06-2022, as per lot mondol overflow of floodwater has reached Nabheti and neighbouring areas of Morigaon Rev. Town. | 2100",28-06-2022,{'Morigaon ': 4},,,,
Morigaon,"Laharighat - Moirabari Railway colony (Moirabari Town) | Due to continuous rainfall from the last 2 days ( from 14/06/2022) till date, a situation of artificial flood ( urban flood) is observed. | 188",16-06-2022,{'Laharighat ': 1},,,,
Kokrajhar,"Kokrajhar - KOKRAJHAR TOWN | URBAN FLOODING | 8641,  Gossaigaon - Gossaigaon Town | Ward No. 1 and Ward No. 2 | 314",17-06-2022,"{'Kokrajhar ': 1, 'Gossaigaon ': 1}",,,,
Kokrajhar,"Kokrajhar - WARD NO. 1(BANDARPAR MOTHAURI), WARD NO.2(SANTINAGAR PATHSALA, MONORAMA SCHOOL, BABYLAND SCHOOL), WARD NO. 3(SCIENCE COLLEGE KOKRAJHAR), WARD NO.4(BHATARMARI LPS), WARD NO.5(BEd COLLEGE/FLYOVER), WARD NO. 6(KOKRAJHAR COLLEGE), WARD NO. 8(SWRANG COMMUNITY HALL), WARD NO.9(BACKSIDE OF TAXI STAND KOKRAJHAR), WARD NO.10(DWIMALU CLUB) | | 8466",16-06-2022,{'Kokrajhar ': 11},,,,
Goalpara,"Balijana - Goalpara Town Ward no. 04, 07, 14, 15 & 17 | Due to urban flood in Goalpara Town Ward no. 04, 07, 14, 15 & 17 got affected. The date of occurrence of Urban flood on 16.06.2022. | 1823",16-06-2022,{'Balijana ': 4},,,,
Goalpara,"Lakhipur - Lakhipur Town Ward No. 1,2,3,4,5,6,8,9&10 | Due to Urban Flood in Lakhipur Town Ward No. 1,2,3,4,5,6,8,9&10 got affected. The Date of occurrence of Urban Flood on 16.06.2022 to till date i.e 20.06.2022 | 7512",20-06-2022,{'Lakhipur ': 8},,,,
Goalpara,"Lakhipur - Lakhipur Town Ward No. 1,2,3,4,5,6,8,9&10 | Due to Urban flood in Lakhipur Town Ward No. 1,2,3,4,5,6,8,9&10 got affected. The Date of Occurrence of Urban flood on 16.06.2022 to till date i.e 21.06.2022 | 7512",21-06-2022,{'Lakhipur ': 8},,,,
Goalpara,"Lakhipur - Lakhipur Town Ward No. 1,2,3,4,5,6,8,9&10 | Due to urban flood in Lakhipur Town Ward No. 1,2,3,4,5,6,8,9&10 got affected. The Date Of occurrence of urban flood on 16.06.2022 to till date i.e 22.06.2022 | 5127",22-06-2022,{'Lakhipur ': 8},,,,
Goalpara,"Lakhipur - Lakhipur Town Ward No. 1,2,3,4,5,6,8,9&10 | Due to Urban flood in Lakhipur Town Ward No. 1,2,3,4,5,6,8,9&10 got affected. The Date of occurence of Urban Floodon 16.06.2022 to till Date i.e 19.06.2022. Field Officer visited the affected sites. | 7512",19-06-2022,{'Lakhipur ': 8},,,,
Goalpara,"Balijana - Goalpara Town Ward no. 3,4,5,6,7,8,10,11,12,13,14, & 17 | Goalpara Town Ward no. 3,4,5,6,7,8,10,11,12,13,14, & 17 are partially affected due to heavy rain water causing urban flood. | 25600,  Lakhipur - Lakhipur Town Ward No. 6,8,9&10 | Due to Urban Flood in Lakhipur Town Ward No. 6,8,9&10 got affected. The date of occurence of Urban Flood on 16.06.2022 to till date i.e 17.06.2022 | 4537",17-06-2022,"{'Balijana ': 12, 'Lakhipur ': 3}",,,,
Goalpara,"Balijana - Goalpara Town Ward no. 3,4,5,6,7,8,10,11,12,13,14, & 17 | Goalpara Town Ward no. 3,4,5,6,7,8,10,11,12,13,14, & 17 Partially affected affected due to urban flood the occurred on 16.06.2022 | 1423,  Lakhipur - Lakhipur Town Ward No. 1,2,3,4,5,6,8,9&10 | Due to Urban Flood in Lakhipur Town Ward No. 1,2,3,4,5,6,8,9&10 got affected.The Date of Occurence of Urban Flood on 16.06.2022 to till Date i.e 18.06.2022 | 7512",18-06-2022,"{'Balijana ': 12, 'Lakhipur ': 8}",,,,
Bajali,Bajali - Pathsala Town | | 12000,16-06-2022,{'Bajali ': 1},,,,
Bajali,"Bajali - Pathsala | Due to heavy rain fall in different location : Jyoti Nagar, Krishna Nagar, Lachit Nagar, Ward No 1 to 10 Date: 17/06/2022 | 12000",17-06-2022,{'Bajali ': 1},,,,
Barpeta,Barnagar - Barpeta Road | due to continuous rain (From 16-6-2022 to 18-6-2022) | 5800,18-06-2022,{'Barnagar ': 1},,,,
Barpeta,Barnagar - Barpeta Road | Approx 5800 nos of population affected due to heavy rainfall. Date-19-6-2022 | 5800,19-06-2022,{'Barnagar ': 1},,,,
Barpeta,"Barnagar - Barpeta Road | Due to heavy rainfall ward no 1, 2, 5 & 9 of Barpeta Road Town is partly affected from 15/06/2022 to till date | 5800",20-06-2022,{'Barnagar ': 1},,,,
Barpeta,"Barnagar - Barpeta Road, Ward No-1, 2 & 9 | Due to heavy rain fall water logged at some places in the mentioned wards of Barpeta Road town (17-6-2022) | 5715",17-06-2022,{'Barnagar ': 3},,,,
Hailakandi,"Hailakandi - Ward no-11,12,2,13,3,7,8,4, | Due to heavy rain on 18.06.2022 submerged roads/ houses in urban area. | 650",18-06-2022,{},,,,
Karimganj,"RK Nagar - word no 1,2,3,4,6,7,10 | total 306 Nos houses submerged. Dated - 20/06/2022 | 1377",20-06-2022,{'RK Nagar ': 7},,,,
Karimganj,"RK Nagar - Ward No.1,2,3,4,6,7 | Total 306 Nos families affected from date 18-06-2022 to 22-06-2022 | 1560",22-06-2022,{'RK Nagar ': 6},,,,
Karimganj,"RK Nagar - word no 6 , word no. 7 word no 4 word no 10 | total 130 house submurged. Dated - 19/06/2022 | 700",19-06-2022,{'RK Nagar ': 2},,,,
Karimganj,"RK Nagar - ward no 1 2 3 4 6 7 10 | Continuous Urban Flood from 20th April 2022 - 21st April 2022, total 306 family effected | 1377",21-06-2022,{'RK Nagar ': 1},,,,
Cachar,"Silchar - Bilpar Purnapaul Road, Silchar | Joydeep Chakarborty S/o lt Nitai Chakraborty, Died
Due to Electrocution age 32 Years old on dated 22.08.2022, Under Silchar Sadar Revenue
Circle | 1",23-08-2022,{'Silchar ': 2},,,,
Cachar,"Silchar - Meherpur,Vivekananda Road,Ashram Road, Das Colony,National Highway road , Chandicharan Road, Bilpar, Public School Road, Subhas Nagar, N.S. Avenue, Kanakpur | Due to incessant rainfall, the closure of",27-06-2022,{'Silchar ': 11},,,,
Cachar,"Silchar - Linkroad, National Highway road point, Ambicapatty, Church Road, Chandicharan Road | due to incessant rainfall, closure of sluice gates, and over-topping of Embankments in many areas in and around Silchar Town on 19.06.2022 | 7501",19-06-2022,{'Silchar ': 5},,,,
Cachar,"Silchar - National Highway road , Ambicapatty, Church Road, Chandicharan Road, Bilpar, Public School Road, Subhas Nagar, N.S. Avenue, Kanakpur | Due to incessant rainfall the closure of sluice gates and over-topping of Embankments in many areas in and around Silchar Town dated 26.06.2022 | 36520",26-06-2022,{'Silchar ': 9},,,,
Cachar,"Silchar - Linkroad, National Highway road point, Ambicapatty, Church Road, Chandicharan Road, Bilpar, Public School Road, Subhas Nagar, Sonai Road, N.S. Avenue | Due to incessant rainfall, closure of sluice gates and over-tapping of Embankments in many areas in and around Silchar Town on dated 20.06.2022 | 11251",20-06-2022,{'Silchar ': 10},,,,
Cachar,"Silchar - National Highway,Das Colony, Ashram Road, Vivekananda Road, Chengkoori Road,Tarapur | Due to incessant rainfall, the closure of sluice gates, and over-topping of Embankments in many areas in and around Silchar Town. From 18.06.2022 to Till today (Dated 01.07.2022) waterlogging still stays in the many places in Silchar City | 75256",01-07-2022,{'Silchar ': 6},,,,
Cachar,"Silchar - National Highway road , Chandicharan Road, Bilpar, Public School Road,Subhas Nagar, Chengkuri Road, Asram Road, Vivekananda Road | Due to incessant rainfall, the closure of sluice gates, and over-topping of Embankments in many areas in and around Silchar Town. From 18.06.2022 to Till today (Dated 28.06.2022) waterlogging still stays in the many places in the Silchar City. | 225620",28-06-2022,{'Silchar ': 8},,,,
Cachar,"Silchar - Linkroad, National Highway road point, Ambicapatty, Church Road, Chandicharan Road, Bilpar, Public School Road, Subhas Nagar, Sonai Road, N.S. Avenue, Premtala, Chengkuri Rood, Malugram, Kanakpur, Tarapur Chandmari, Itkhola, Ghoniala, Meherpur | Due to incessant rainfall, closure of sluice gates and over-topping of Embankments in many areas in and around Silchar Town on dated 21.06.2022 | 12201",21-06-2022,{'Silchar ': 18},,,,
Cachar,"Silchar - Linkroad, National Highway road point, Ambicapatty, Church Road, Chandicharan Road, Bilpar, Public School Road, Subhas Nagar, Sonai Road, N.S. Avenue, Premtala, Chengkuri Rood, Malugram, Kanakpur, Tarapur Chandmari, Itkhola, Ghoniala, Meherpur | Due to incessant rainfall the closure of sluice gates and over-topping of Embankments in many areas in and around Silchar Town dated 25.06.2022 | 45201",25-06-2022,{'Silchar ': 18},,,,
Cachar,"Silchar - Linkroad, National Highway road point, Ambicapatty, Church Road, Chandicharan Road, Bilpar, Public School Road, Subhas Nagar, Sonai Road, N.S. Avenue, Premtala, Chengkuri Rood, Malugram, Kanakpur, Tarapur , Itkhola, Ghoniala, Meherpur, Public School Road, | Due to incessant rainfall, the closure of sluice gates and over-topping of Embankments in many areas in and around Silchar Town dated 23.06.2022 | 21052",23-06-2022,{'Silchar ': 20},,,,
Cachar,"Silchar - Linkroad, National Highway road point, Ambicapatty, Church Road, Chandicharan Road, Bilpar, Public School Road, Subhas Nagar, Sonai Road, N.S. Avenue, Premtala, Chengkuri Rood, Malugram, Kanakpur, Tarapur , Itkhola, Ghoniala, Meherpur, Public School Road, | Due to incessant rainfall, the closure of sluice gates, and over-topping of Embankments in many areas in and around Silchar Town on dated 22.06.2022 | 15501",22-06-2022,{'Silchar ': 20},,,,
Cachar,"Silchar - Linkroad, National Highway road point, Ambicapatty, Church Road, Chandicharan Road, Bilpar, Public School Road, Subhas Nagar, Sonai Road, N.S. Avenue, Premtala, Chengkuri Rood, Malugram, Kanakpur, Tarapur Chandmari, Itkhola, Ghoniala, Meherpur, Public School Road | Due to incessant rainfall the closure of sluice gates and over-topping of Embankments in many areas in and around Silchar Town dated 24.06.2022 | 35000",24-06-2022,{'Silchar ': 19},,,,
Cachar,"Silchar - National Highway road , Chandicharan Road, Bilpar, Public School Road, Subhas Nagar, N.S. Avenue, Kanakpur , Das Colony, Chengkoori Road, Tarapur, Vivekananda Road, Asham Road | Due to incessant rainfall, the closure of sluice gates, and over-topping of Embankments in many areas in and around Silchar Town. From 18.06.2022 to Till today (Dated 30.06.2022) waterlogging still stays in the many places in Silchar City | 225620",30-06-2022,{'Silchar ': 12},,,,
Cachar,"Silchar - National Highway road , Ashram Road, Vivekananda Road, Chengkoori Road, Chandicharan Road, Bilpar, Public School Road, Subhas Nagar, N.S. Avenue, Kanakpur | Due to incessant rainfall, the closure of sluice gates, and over-topping of Embankments in many areas in and around Silchar Town. From 18.06.2022 to Till today (Dated 29.06.2022) waterlogging still stays in the many places in Silchar City. | 225620,  Sonai - Ward No - 1, Ward No - II, Ward No - III, Ward No - IV, Ward No - V, Ward No - VI, Ward No - VII, Ward No - VIII, Ward No - IX, Ward No - X, Ward No - XI | Due to incessant rainfall the closure of gates and overtopping of Embankments in many areas in and around Sonai Town from 23.06.2022 to till Today (29.06.2022) water logging still stays in the many places in the Sonai City. | 22354",29-06-2022,"{'Silchar ': 10, 'Sonai ': 11}",,,,
Dibrugarh,Dibrugarh East - Chawlkhua Grant Gaon | affected by Water logging as on 02-07-2022 | 30,07-07-2022,{'Dibrugarh East ': 1},,,,
Dibrugarh,Dibrugarh East - Phoolbagan nearby Chapori area (WN-16) | Chapori area. As on 25.06.2022 | 0,25-06-2022,{'Dibrugarh East ': 1},,,,
Dibrugarh,"Dibrugarh East - Old amolapatty, new amolapatty ward, chawlkhua, nizkodomoni , jopora gon ward | Flood due to water logging as on 29:06:2022 | 2298",01-07-2022,{'Dibrugarh East ': 5},,,,
Dibrugarh,"Dibrugarh East - Chawlkhua grant gaon | 75 Household affected ,Lat - 27.46 and long - 94.96 . Flood due to water logging system and no drainage system seen here, as on 26.06.2022 | 380",26-06-2022,{'Dibrugarh East ': 1},,,,
Dibrugarh,"Dibrugarh East - Ward no 3 ( Khlihamari), ward no 21(Gangapara), ward no 21 (Gabharuathar), ward no - 01(Dhobiatty and kumarpatty | Urban flood due to water logging areas as on 02.07.2022 | 2111",02-07-2022,{'Dibrugarh East ': 4},,,,
Dibrugarh,Dibrugarh East - 1. Chawlkhua Grant Gaon 2. Niz kodomoni gaon ward 3. Old Amolapatty ward 4. Jopora Gaon ward 5. Amolapatty Gaon Ward 6. Graham Bazar ward | Flood due to water logging as on 30.06.2022 | 2443,30-06-2022,{'Dibrugarh East ': 7},,,,
