District,Number of damages,Details,Date,,,,,,,
Tamulpur,1,"Goreswar - Tengajhar wooden Bridge | Tengajhar | Dated 16/06/2022 the repaired wooden Bridge got washed away for the third time. | (Long - 91.691087, Lat - 26.606480)",16-06-2022,,,,,,,
Tamulpur,1,"Tamulpur - 2No Banguri Bridge | Vill-2No Banguri | Approach to bridge damaged approx 10m.As per report recieved from PWD on dated 28-06-2022. | (Long - 91.573000, Lat - 26.615000)",28-06-2022,,,,,,,
Tamulpur,2,"Tamulpur - Subway bridge No. 7/1 | Baraliapar | Flood damaged subway bridge over the river Baralia., Goreswar - Tengajhar wooden Bridge  | Village Tengajhar  | West part of the wodden bridge was away by the water of River Suklai",17-05-2022,,,,,,,
Tamulpur,1,Goreswar - Tengajhar wooden Bridge | Village Tengajhar | The wooden Bridge at Village Tengajhar over River Suklai which was reported as west part was washed away today morning 12/06/2022.the reparing portion (west part) again was washed away. Approx 3metres.,12-06-2022,,,,,,,
Tamulpur,2,"Tamulpur - SUBWAY OF BRIDGE NO 7/1 OVER RIVER BAROLIA AT JHARKONA. ON DATED 21-06-22 | JHARKONA | SUBWAY BROKEN. | (Long - 91.644148, Lat - 26.589782),  UTTAR GAIBERA ROAD BRIDGE. ON DATED 21-06-22 | UTTAR GAIBERA | DAMAGE 10M | (Long - 91.633831, Lat - 26.541830)",21-06-2022,,,,,,,
Tamulpur,1,"Tamulpur - RCC Mini Bridge connecting Beltola and Sitkajan | Village No. 1 Dongargaon ( Forest Reserve) | RCC Mini Bridge connecting Beltola and Sitkajan has been damaged due to incessant rain at Village No 1 Dongargaon Dated 14/06/2022. | (Long - 91.648339, Lat - 26.773085)",14-06-2022,,,,,,,
Tamulpur,2,"Tamulpur - Dakhin Gandhibari Borolia river Bridge  | Village - Dakhin Gandhibari | 15/05/2022 a part of old iron bridge over River Borolia got washed away due to overflow of River Borolia, Small Bamboo Bridge | Village Borbalisiha | A small Bamboo Bridge got washed away due to overflow of River Borolia",16-05-2022,,,,,,,
Darrang,1,"Patharighat - Borpothar PWD Bridge | Borpothar | Bridge approach damaged on 15.6.2022 reported by PWD SDO. | (Long - 91.792992, Lat - 26.453377)",15-06-2022,,,,,,,
Darrang,1,"Dalgaon - Br No. 2/1 Kuwaripukhuri to Dhunbasti road | Br No. 2/1 Kuwaripukhuri to Dhunbasti road | As per report received from SDO,PWRD, Dalgaon Territorial road sub-division West approach of the bridge has been eroded about 3M wide on Dunibasti side of the road",16-05-2022,,,,,,,
Darrang,1,"Patharighat - KALJUR PWD BRIDGE | KALJURI | KALJURI BRIDGE APPROACH OF BR NO. 1/1 IS DAMAGED AT BOTH END. HARD CRUST ICBP & EDGE BLOCK) IS COMPLETELY DAMAGED SIDE BERM IS ERODED AS REPORTED BY E.E PWD ROADS SIPAJHAR ON 26.6.2022 | (Long - 0.000000, Lat - 0.000000)",26-06-2022,,,,,,,
