District,Number of damages,Details,Date,,,,,,,
Dhemaji,1,"Dhemaji - L034-Seujiapathar -Yedotgaon PWD road | Seujia pathar | Today on 11:06/2022, Causeway breached (L-20.00m) occurred at L034-Seujiapathar -Yedot Gaon Road (PMGSY Package no .AS-04-209A)",11-06-2022,,,,,,,
Dhemaji,1,"Dhemaji - Batamari to Machkhowa PWD road | Machkhowa | Yesterday on 13/10/2022, Bridge approach( Br.No.4/1) damaged occurred at Batamari to Machkhowa PWD road (Length-5 m.) | (Long - 94.481637, Lat - 27.320369)",14-10-2022,,,,,,,
Dhemaji,1,"Sissiborgaon - PWD Road, Bridgebari to Rabhagaon | Road Ch-2950.0 M | PWD, Road Submarged and exttend of damage is 300.OO M, On dated 04-09-2022. More than 500 people are effected. | (Long - 94.762128, Lat - 27.645457)",13-09-2022,,,,,,,
Dhemaji,1,"Dhemaji - Jiadhal chariali to Jiadhal College PWD road near Nalamukh | Nalamukh | Today (15/05/2022)at  5:30AM ,about 200meter of PWD road from Jiadhal chariali to Jiadhal College road submerged near Nalamukh and 550.00m from Jiadhal Chariali.",15-05-2022,,,,,,,
Dhemaji,1,"Dhemaji - Uriamguri to Sissimukh PWD road | Uriamguri | Yesterday on 1/09/2022, Due to heavy rainfall erosion occurred at Uriamguri to Sissimukh pwd road connecting bridge approach Br. No 1/1. around length 10 meter. | (Long - 94.543866, Lat - 27.307180)",02-09-2022,,,,,,,
Dhemaji,1,"Sissiborgaon - PWD Road from Bridgebari to Rabhagaon. | From Ch. 2600.00 M to Ch. 2750.00 M | Slide shoulder fully damaged on both side of the road Embankment including hard crust and BT work on 07/07/2022. Length 150.00M | (Long - 94.771442, Lat - 27.536979)",07-07-2022,,,,,,,
Dhemaji,1,"Sissiborgaon - PWD road Jonai link road to NH52 via Kalyankendra Road, | At Ch 450.00 M to Ch 490.00 M | Damaged the road embankment partially, damaged side shoulder, hard crust along with BT surface, Around length 40 mts on 22-06-2022 | (Long - 94.731321, Lat - 27.585447)",23-06-2022,,,,,,,
Dhemaji,1,"Gogamukh - PWRD Road, Gogamukh Chariali to Borbam Abandant | Erosion occurred at Ch.5500.00 m. | Erosion occurred at Ch.5500.00 m of Gogamukh Chariali to Borbam Abandant road under PWRD, Dhemaji Territorial Road Division. Dated 10/10/2022. | (Long - 94.302936, Lat - 27.390072)",10-10-2022,,,,,,,
Dhemaji,1,"Dhemaji - PWD road Rudrasingha Path | Rudrasingha path, Dhemaji Circle | Yesterday on 18/06/2022, Road surface submerged and damaged due to raiwater at Rudrasingh path from ch.10.00m to ch.220.00m and ch.280.00m tonch.460.00m, length around 390 m | (Long - 94.548060, Lat - 27.468890)",19-06-2022,,,,,,,
Dhemaji,1,"Sissiborgaon - PWD road from NH 52 to Kamchi Nagaon Road | At Ch 1331.00 M to Ch. 1435.00 M and Ch. 3341.00 M to Ch. 4007.00 M | Damaged the road embankment, side shoulder, hard crust along with concrete and ICBP pavement. around Length - 770 Meters on 24-06-2022 | (Long - 94.611087, Lat - 27.568348)",24-06-2022,,,,,,,
Dhemaji,1,"Dhemaji - PWD Jorkata road to Ujani Chuk (PMGSY package No- As-04-218) | Jorkata road to Ujani Chuk | Today on 22/06/2022, Erosion occurred on both sides of culvert approach connecting L040-jorkata road (T03) to Ujani Chuk (PMGSY package No- As-04-218) at Ch.620.00m. around 8 m. | (Long - 94.583154, Lat - 27.311940)",22-06-2022,,,,,,,
Dhemaji,1,"Sissiborgaon - PWD ROAD Bormuria to Arney Chapori. | From Ch. 3800.00 M, to Ch.3830.00M, . | Bormuria Arney Chapori. Slide Shoulder fully damaged on both side of the bridge approache of RCC Bridge no.4/1 Cause way at right side partially damaged on 05/07/2022 and damaged length is 120.00M. | (Long - 94.771442, Lat - 27.536979)",08-07-2022,,,,,,,
Dhemaji,1,"Sissiborgaon - PWD Kamchi to Jengrai via Goroimari Road (Package No. AS-04-33). | From Ch.7650.00M to Ch.7660.00M | Slide shoulder fully damaged on both side of the road Embankment including hard crust and BT work. Damaged double HP 1000mm dia at Ch.7650.00, length-10m (Dated on 08/07/2022) | (Long - 94.602511, Lat - 27.595031)",11-07-2022,,,,,,,
Dhemaji,2,"Gogamukh - Gogamukh to Ghilamara Road (SH-22) | Gogamukh | Road Submerge from Ch.0.00 m to Ch.400.00 m (Length 400m) as a result large potholes as well as depression of road surface occurred on 09/06/2022.,  Sissiborgaon - PWD Road from Bhairabpur to Kulibazar | Bhairabpur to Kulibazar | Road submerged from ch 3100.00M to ch 3200.00 M (around 100 meters) as on 09-06-2022",09-06-2022,,,,,,,
Dhemaji,1,"Jonai - PWD territorial road embankment NH-52 to Ujani Missamara via Rongjuli under PMGSY package no. As-04-57, 10.00 meter breached on 20/06/2022 by Dikhari River. | From Ch.7550.00m to 7560.00m | As per report received from PWD,Jonai Territorial Road Sub- Division-II, Jonai a PWD territorial road embankment at NH-52 to Ujani Missamara via Rongjuli under PMGSY package no. As-04-57, 10.00 meter breached on 20/06/2022 by Dikhari River. | (Long - 95.010624, Lat - 27.712816)",20-06-2022,,,,,,,
Dhemaji,2,"Sissiborgaon - PWD road Garumarakhuti to Bangalmari Jail | Garumarakhuti to Bangalmari Jail | Road damaged from ch.0.00 to ch 450.00 around 450.00 Meters on 14-06-2022 | (Long - 94.636615, Lat - 27.612637),  PWD road Kulajan Kebarangga to Singibeel road | Kulajan Kebarangga to Singibeel road | Road Damaged the Side shoulder and Road Embankment from Ch.5000.00 M to Ch.5100.00 M at Up- Stream Side around 100.00Meters by the river Tangani on 15-06-2022 | (Long - 95.709632, Lat - 27.485841)",15-06-2022,,,,,,,
Dhemaji,1,"Jonai - PWD territorial road Kuligaon to Naharbandana under PMGSY Package No. As-04-28, 30.00 meter Culvert approaches (both side) got eroded and also over topped on 19/05/2022 due to Rajakhana River. | From Ch.7100.00 M to 7400.00 M | As per reports received from PWRD, Jonai Territorial Road Sub- Divsion-II, Jonai, a PWD territorial road Kuligaon to Naharbandana under PMGSY Package No. As-04-28, 30.00 meter Culvert approaches (both side) got eroded and also over topped on 19/05/2022 due to Rajakhana River.",19-05-2022,,,,,,,
