District,Fully Kuccha,Fully Pukka,Fully Total,Partially Kuccha,Partially Pukka,Partially Total,Others Huts,Others Cattle Shed,Others Total,Date
Cachar,200,0,200,1300,300,1600,500,500,1000,15-05-2022
Nagaon,2,0,2,0,0,0,0,0,0,15-05-2022
Cachar,1000,0,1000,1600,0,1600,0,0,0,16-05-2022
Dima-Hasao,5,0,5,55,75,130,150,0,150,16-05-2022
Nalbari,0,0,0,2,0,2,0,0,0,16-05-2022
Cachar,106,0,106,1505,0,1505,0,0,0,17-05-2022
Dima-Hasao,5,0,5,55,75,130,150,0,150,17-05-2022
Sonitpur,0,0,0,4,0,4,0,0,0,17-05-2022
Udalguri,1,0,1,0,0,0,0,0,0,17-05-2022
Biswanath,12,0,12,1,0,1,0,0,0,18-05-2022
Udalguri,0,0,0,0,0,0,0,1,1,18-05-2022
Cachar,802,0,802,5089,1055,6144,1000,300,1300,18-05-2022
Dima-Hasao,135,233,368,0,0,0,0,0,0,19-05-2022
Cachar,3000,670,3670,22000,1789,23789,1500,550,2050,19-05-2022
Kamrup,4,0,4,10,0,10,0,3,3,19-05-2022
Goalpara,1,0,1,0,0,0,0,0,0,20-05-2022
Hojai,2,0,2,0,0,0,0,0,0,20-05-2022
Biswanath,2,0,2,35,0,35,0,0,0,21-05-2022
Dima-Hasao,57,135,192,0,0,0,90,0,90,21-05-2022
Hojai,4,0,4,0,0,0,0,0,0,21-05-2022
Cachar,0,0,0,196,89,285,0,0,0,22-05-2022
Hojai,12,0,12,0,0,0,0,0,0,22-05-2022
Hojai,4,0,4,0,0,0,0,0,0,23-05-2022
Cachar,2197,990,3187,25507,12540,38047,0,0,0,24-05-2022
Hojai,18,0,18,7,0,7,0,3,3,24-05-2022
Cachar,1100,500,1600,8600,1000,9600,0,0,0,25-05-2022
Hojai,90,8,98,294,0,294,0,48,48,25-05-2022
Hojai,97,0,97,292,27,319,3,28,31,26-05-2022
Cachar,120,0,120,9000,1000,10000,0,0,0,26-05-2022
Cachar,0,0,0,257,29,286,10,17,27,27-05-2022
Nagaon,95,0,95,3500,0,3500,0,3500,3500,27-05-2022
Hojai,90,0,90,1002,32,1034,13,8,21,27-05-2022
Dima-Hasao,1027,799,1826,207,547,754,305,79,384,28-05-2022
Hojai,20,0,20,210,0,210,0,0,0,28-05-2022
Nagaon,1,0,1,0,0,0,0,0,0,28-05-2022
Dima-Hasao,125,74,199,236,85,321,74,231,305,29-05-2022
Hojai,5,0,5,165,7,172,32,0,32,29-05-2022
Nagaon,112,7,119,337,40,377,215,134,349,01-06-2022
Nagaon,158,2,160,575,149,724,104,114,218,02-06-2022
Nagaon,169,0,169,292,19,311,37,82,119,03-06-2022
Nagaon,265,5,270,602,22,624,20,37,57,04-06-2022
Udalguri,1,0,1,0,0,0,0,0,0,10-06-2022
South Salmara,1,0,1,0,0,0,0,0,0,10-06-2022
Udalguri,1,0,1,0,0,0,0,0,0,15-06-2022
Chirang,0,0,0,1,0,1,0,0,0,15-06-2022
Goalpara,0,0,0,1,0,1,0,0,0,16-06-2022
Kamrup (M),1,0,1,1,7,8,0,0,0,16-06-2022
Lakhimpur,5,0,5,20,0,20,0,0,0,17-06-2022
Kamrup (M),0,0,0,0,7,7,0,0,0,17-06-2022
Goalpara,0,0,0,9,21,30,0,0,0,17-06-2022
Kamrup,6,2,8,193,8,201,0,132,132,17-06-2022
Darrang,10,0,10,0,0,0,0,0,0,17-06-2022
Udalguri,2,0,2,0,0,0,0,0,0,17-06-2022
Darrang,30,0,30,0,0,0,0,0,0,18-06-2022
Sonitpur,10,5,15,10,3,13,4,0,4,18-06-2022
Baksa,6,1,7,1,0,1,0,0,0,18-06-2022
South Salmara,6,0,6,0,0,0,0,0,0,18-06-2022
