District,Total,Big,Small,Poultry,Date,,,,,
Cachar,6,5,1,0,16-05-2022,,,,,
Biswanath,2,2,0,0,17-05-2022,,,,,
Biswanath,2,2,0,0,18-05-2022,,,,,
Cachar,1,1,0,0,20-05-2022,,,,,
Nagaon,200,0,0,200,23-05-2022,,,,,
Hojai,2,2,0,0,23-05-2022,,,,,
Cachar,7,7,0,0,24-05-2022,,,,,
Dima-Hasao,107,30,57,20,25-05-2022,,,,,
Cachar,4,4,0,0,25-05-2022,,,,,
Cachar,1,1,0,0,26-05-2022,,,,,
Nagaon,450,0,0,450,28-05-2022,,,,,
Dima-Hasao,4,0,0,4,29-05-2022,,,,,
Dima-Hasao,365,85,87,193,30-05-2022,,,,,
Kokrajhar,410,0,10,400,17-06-2022,,,,,
Baksa,12,0,12,0,18-06-2022,,,,,
Goalpara,5,0,5,0,18-06-2022,,,,,
Nagaon,2,2,0,0,18-06-2022,,,,,
Sonitpur,2,0,2,0,18-06-2022,,,,,
Udalguri,10,10,0,0,18-06-2022,,,,,
Chirang,66,0,5,61,19-06-2022,,,,,
Kamrup,743,41,75,627,19-06-2022,,,,,
Nalbari,1,1,0,0,19-06-2022,,,,,
Sonitpur,2,0,2,0,19-06-2022,,,,,
Udalguri,2,2,0,0,20-06-2022,,,,,
Nalbari,26,5,21,0,20-06-2022,,,,,
Baksa,3,0,3,0,20-06-2022,,,,,
Barpeta,1,0,1,0,20-06-2022,,,,,
Nagaon,5200,0,0,5200,20-06-2022,,,,,
Nalbari,3,0,3,0,21-06-2022,,,,,
Bongaigaon,59647,39278,20369,0,21-06-2022,,,,,
Barpeta,3,2,1,0,21-06-2022,,,,,
Baksa,1,0,1,0,21-06-2022,,,,,
Nalbari,6,5,1,0,24-06-2022,,,,,
Barpeta,22,0,22,0,24-06-2022,,,,,
Cachar,4,4,0,0,25-06-2022,,,,,
Barpeta,26,2,24,0,25-06-2022,,,,,
Hojai,2,0,2,0,25-06-2022,,,,,
Bajali,19,1,18,0,26-06-2022,,,,,
Barpeta,3,0,3,0,26-06-2022,,,,,
Nalbari,37,0,37,0,26-06-2022,,,,,
Darrang,3,3,0,0,26-06-2022,,,,,
Hojai,2,2,0,0,26-06-2022,,,,,
Nagaon,1,0,1,0,26-06-2022,,,,,
Nalbari,33,10,23,0,27-06-2022,,,,,
Bajali,2735,0,8,2727,27-06-2022,,,,,
Barpeta,6,3,3,0,27-06-2022,,,,,
Barpeta,3,2,1,0,28-06-2022,,,,,
Cachar,6,6,0,0,28-06-2022,,,,,
Bajali,3200,18,70,3112,28-06-2022,,,,,
Nalbari,23,10,13,0,28-06-2022,,,,,
Nagaon,3,0,3,0,28-06-2022,,,,,
Darrang,1069,30,0,1039,28-06-2022,,,,,
Cachar,5,5,0,0,29-06-2022,,,,,
Hailakandi,3,2,1,0,29-06-2022,,,,,
Kamrup,4,3,1,0,29-06-2022,,,,,
Darrang,10,2,8,0,29-06-2022,,,,,
Barpeta,16,6,10,0,29-06-2022,,,,,
Barpeta,22,6,16,0,30-06-2022,,,,,
Darrang,1,1,0,0,30-06-2022,,,,,
Dhemaji,12,0,12,0,30-06-2022,,,,,
Nalbari,11,4,7,0,30-06-2022,,,,,
Nagaon,5,2,3,0,30-06-2022,,,,,
Bajali,15,0,15,0,01-07-2022,,,,,
Barpeta,29,10,19,0,01-07-2022,,,,,
Karimganj,4,4,0,0,01-07-2022,,,,,
Nalbari,747,5,42,700,01-07-2022,,,,,
Barpeta,32661,0,1,32660,02-07-2022,,,,,
Darrang,1000,0,0,1000,02-07-2022,,,,,
Golaghat,1,0,1,0,02-07-2022,,,,,
Karimganj,1,1,0,0,02-07-2022,,,,,
Morigaon,147,0,0,147,02-07-2022,,,,,
Nagaon,285,20,65,200,02-07-2022,,,,,
Nalbari,147,4,43,100,02-07-2022,,,,,
Morigaon,2,1,1,0,03-07-2022,,,,,
Barpeta,1301,1,0,1300,03-07-2022,,,,,
Karimganj,2,2,0,0,04-07-2022,,,,,
Nalbari,1,1,0,0,04-07-2022,,,,,
Barpeta,22,2,20,0,04-07-2022,,,,,
Barpeta,228,2,1,225,05-07-2022,,,,,
Dibrugarh,205,0,0,205,05-07-2022,,,,,
Karimganj,1,1,0,0,05-07-2022,,,,,
Kamrup,10,2,8,0,07-07-2022,,,,,
Morigaon,1,1,0,0,07-07-2022,,,,,
Hailakandi,1951,1,0,1950,08-07-2022,,,,,
Hailakandi,1,1,0,0,09-07-2022,,,,,
Kamrup,1013,21,242,750,12-07-2022,,,,,
Nalbari,37,1,36,0,12-07-2022,,,,,
Karimganj,6,6,0,0,14-07-2022,,,,,
Dhemaji,1,1,0,0,01-08-2022,,,,,
Udalguri,30,0,8,22,02-08-2022,,,,,
Bajali,60,5,2,53,23-06-2022,,,,,
Barpeta,1,0,1,0,23-06-2022,,,,,
Hailakandi,1,1,0,0,23-06-2022,,,,,
Nalbari,22,5,17,0,23-06-2022,,,,,
Golaghat,80,0,14,66,13-09-2022,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
