District,RevenueCircle,Crop Area Affected (Hectares),Date
Nalbari,ghograpar,16.8,2022-05-15
Nagaon,raha,1940.54,2022-05-15
Nagaon,kampur,451,05-15-2022
Cachar,udharbond,129,2022-05-15
Cachar,lakhipur,97,2022-05-15
Cachar,sonai,157.1,2022-05-15
Cachar,silchar,594.5,2022-05-15
Cachar,katigorah,1122,2022-05-15
Dhemaji,dhemaji,12,2022-05-15
Hojai,lanka,245.5,05-15-2022
Hojai,hojai,5377,2022-05-15
Hojai,doboka,179,2022-05-15
Karbi Anglong West,donkamokam,0,2022-05-15
Bajali,bajali,194,2022-05-16
Tamulpur,goreswar,0,2022-05-16
Sonitpur,dhekiajuli,107,2022-05-16
Sonitpur,thelamara,12,2022-05-16
Sonitpur,chariduar,151,2022-05-16
Sonitpur,tezpur,100,2022-05-16
Nalbari,paschim,1.4,2022-05-16
Nalbari,ghograpar,14,2022-05-16
Nalbari,tihu,20,2022-05-16
Nagaon,raha,2230.75,2022-05-16
Nagaon,kampur,3157,2022-05-16
Majuli,ujani,32,2022-05-16
Majuli,majuli,48,2022-05-16
Lakhimpur,nowboicha,25,05-16-2022
Lakhimpur,narayanpur,10,05-16-2022
Lakhimpur,bihpuria,73,05-16-2022
Hojai,lanka,245.5,05-16-2022
Hojai,hojai,3940,05-16-2022
Hojai,doboka,426,05-16-2022
Karbi Anglong West,donkamokam,0,05-16-2022
Kamrup,rangia,160,05-16-2022
Udalguri,harisinga,0,05-16-2022
Udalguri,khairabari,166,05-16-2022
Udalguri,udalguri,3209,05-16-2022
Udalguri,kalaigaon,0,05-16-2022
Udalguri,mazbat,0,2022-05-16
Charaideo,sapekhati,0,2022-05-16
Dima-Hasao,haflong,0,2022-05-16
Dibrugarh,chabua,3.5,2022-05-16
Dibrugarh,naharkatia,0,2022-05-16
Kokrajhar,bhawraguri,52.63,2022-05-16
Kokrajhar,gossaigaon,92.88,2022-05-16
Kokrajhar,bagribari,354.35,2022-05-16
Dhemaji,dhemaji,12,2022-05-16
Dhemaji,jonai,42,2022-05-16
Darrang,patharighat,0,2022-05-16
Darrang,dalgaon,0,2022-05-16
Darrang,mangaldoi,219,2022-05-16
Biswanath,gohpur,150,2022-05-16
Biswanath,halem,210,2022-05-16
Biswanath,biswanath,0,2022-05-16
Cachar,udharbond,59,2022-05-16
Cachar,sonai,300.6,2022-05-16
Cachar,lakhipur,8,2022-05-16
Cachar,silchar,594.5,2022-05-16
Cachar,katigorah,225.5,2022-05-16
Baksa,baksa,0,2022-05-16
Charaideo,sapekhati,0,2022-05-17
Sonitpur,naduar,151,2022-05-17
Sonitpur,thelamara,273,2022-05-17
Sonitpur,chariduar,79,2022-05-17
Sonitpur,dhekiajuli,176,2022-05-17
Sonitpur,tezpur,222,2022-05-17
Nalbari,barbhag,88,2022-05-17
Nalbari,banekuchi,5,2022-05-17
Nalbari,nalbari,13,2022-05-17
Nalbari,paschim,125,2022-05-17
Nalbari,ghograpar,23,2022-05-17
Nalbari,tihu,52,2022-05-17
Nagaon,raha,2537.57,2022-05-17
Nagaon,kampur,5600,2022-05-17
Morigaon,mayong,769.5,2022-05-17
Morigaon,morigaon,412.26,2022-05-17
Majuli,majuli,61.48,2022-05-17
Majuli,ujani,34.03,2022-05-17
Lakhimpur,north,4,2022-05-17
Lakhimpur,nowboicha,42,05-17-2022
Lakhimpur,narayanpur,447.2,05-17-2022
Lakhimpur,bihpuria,199,05-17-2022
Tamulpur,tamulpur,0,05-17-2022
Tamulpur,goreswar,68.09,05-17-2022
Kokrajhar,kokrajhar,140,05-17-2022
Kokrajhar,gossaigaon,1,05-17-2022
Kokrajhar,bhawraguri,16,05-17-2022
Kokrajhar,bagribari,429.1,05-17-2022
WestKarimganj,badarpur,0,2022-05-17
WestKarimganj,karimganj,0,2022-05-17
Karbi Anglong,donkamokam,6.69,2022-05-17
Kamrup,rangia,246,2022-05-17
Kamrup,kayan,231,2022-05-17
Hojai,lanka,424,2022-05-17
Hojai,hojai,3701,2022-05-17
Hojai,doboka,640,2022-05-17
Hailakandi,algapur,53,2022-05-17
Goalpara,rongjuli,122,2022-05-17
Dima-Hasao,haflong,0,2022-05-17
Dibrugarh,chabua,3.5,2022-05-17
Bajali,bajali,0,2022-05-17
Barpeta,sarthebari,2241.6,2022-05-17
Biswanath,naduar,130,2022-05-17
Biswanath,gohpur,769.1,2022-05-17
Biswanath,halem,811,2022-05-17
Biswanath,biswanath,425,2022-05-17
Bongaigaon,srijangram,432,2022-05-17
Bongaigaon,boitamari,90,2022-05-17
Dhemaji,dhemaji,12,2022-05-17
Dhemaji,jonai,57.6,2022-05-17
Dhemaji,sissiborgaon,78.6,2022-05-17
Darrang,patharighat,360.9,05-17-2022
Darrang,mangaldoi,587,05-17-2022
Darrang,dalgaon,3666,05-17-2022
